,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,,5.71,1111,,,,,,,,801,,,,1155,
1,,"pq6L'I FOt""6Z","pq6L'I FOt""6Z","pq6L'I FOt""6Z",,,qr&0'Z F 08'Z8,,zqe Zt'O F L4'ZZ,,,,,,,,"oLT'O F Ot""6S",
2,,zq0S'v8 F Ob'ZS8,,,,,,,,'p'u,,'p'u,,'p't,,'p'u,,
3,,,,258,,,,,,000,,,,,,,,
4,,,pu,,,p'u,,,qSO'O FO6'ZZ,qI8'0 FSS'888,,,,,q00,"""p.u",pbI'O F O8'Z8,
5,PHC,p'u,,,,p'u,eII'OF 08'Zt,,"q8&""0 F 0L'888","q8&""0 F 0L'888",,,,,,,sqS0'0 F 06'8S,
6,TH%MM,,,p8b+ 8Ob,,,,,sqeSL'O F 9O'ZZ,qZb'0 F LS'E88,,p'u,,p'u,,,'p'u,
7,TH%MM,,06,,,,,425,1118,,,,,,,0,,447
8,,qIO'I F O8'ZLL,q9b'0 F 0Z'Z8,q9b'0 F 0Z'Z8,,,p'u,,qeLZ'O F OS'v88,qeLZ'O F OS'v88,,,,,,p.u,,86866
9,SEC,'p'u,,,'p'u,zZI'IF60'V8,p'u,,,q6I'0 F vL'888,,,,,'p'u,"""p'u",p.u,
10,,,,,,p't,'p't,,,,11111,,,'p',,,,
11,,,,,,,,,Ruin,,,,,,,,,TTorr
