,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,%,,1.14,,1117,,,,,,,,,,,0,0,112,,,,,,,
1,,,'pu,,,,poZZ'O F 8'6ZI,,,qb0'0F06'8Z,,,p'i,,,qbI'0 F LL'9I,,,,,,,p'u,,p'u,
2,,,,,,,,qeZZ'0 + 08'S9I,1110,qp0600667,sqSI`I F 0Z't88,,,,,"""p'u",,,,,,,,,pu,
3,,,,,,,0,,722,,0000,0000,,,111,,,,,,,,,,8'66,
4,,,,354,qZ8'0 F 8S'ZS,p,p,p00,,,,,,,,,,,,,,,'pu,q80'O F 68'Z8,,
5,,,,,qrZ6'I F SO'OS,,,,,,,,,,,,,,,,,eZ8'O F O8'II,,,+1,
6,,,,,qrZ6'I F SO'OS,p'u,pu,,,,,'p.u,,,,,,,,,"""pu",eZ8'O F O8'II,pu,58'89,58'89,
7,,,pu,sqr8b F 80t,"7qeL9`bI F Z8""6L",pu,qS8'0 FL7'Z8,,,,,,,pu,,,,,,,,,,'p'u,,
8,,,1220,880,1118,1000,,,,1040,,717,,1101,069,,0,,240,0,,,0,,,
9,,,q69:0 F04'99,9qeSFZbb,,qeSL'ZZ F 4S I6,,7q8'SZ F SI'T6I,,qeIO'Z F0t'Z8,,p.u,p.u,,,,pu,jLZ'0F 89'ZZ,(Z6'1)8t,p.u,,q88'I F 9E'CI,p'u,,pu,
10,,,,,,,,,,,,"zqL'9Z F 89""ItI",,qeZ't8F O6'Z6I,,,q9&'O F 0S'6I,q9&'O F 0S'6I,,,,,qIZ'0 F,qeLS'9 F,,20200
11,SHC,,,,,,,,,,,"zqL'9Z F 89""ItI",,qeZ't8F O6'Z6I,,,q80'0 F 88'S8,q9&'O F 0S'6I,,,,,,,pu,20200
12,,,,peS FZ8S,,,,,,,,+,,,,,,,,,,,,,,
13,,,,peS FZ8S,,,,,,,B57,,,2210,,p'u,,,,,"""p.u",p'u,,p'u,p'u,24440
