,0,1
0,,Serving size(g
1,Snacks sweet,
2,Chocolates & sweets &pastilles,10
3,Chewing gums,5
4,Marzipan & nougat,25
5,Mars/bounty/snickers,50
6,"Bars muesli,liga,sultana& gingerbread",20
7,Biscuits & cookies,15
8,Pastry & cookies,30
9,"Muffins,wafers,donuts",60
10,Cakes,80
11,Pancakes,100
12,Edible ices,50
13,Desserts,125
14,Milkshakes,150
15,Snacks savoury,
16,Savoury crackers,10
17,Heavy & light weight snacks (popcorn,25
18,Nuts,30
19,Seeds,10
20,"Loempias,nasibal,kroket",75
21,Filled sandwiches and rolls,
22,Filled sandwiches,125
23,Hamburgers & gyros/shoarma,200
24,Main dishes,
25,Main dishes,450
