,0,1,2,3,4,5,6,7
0,Fresh-cut product,Latin name,Moisture(g/100 ga,Folate content(ug/100 ga,Folate content(ug/portion,Reference data (g/100 g),Reference data (g/100 g),Reference data (g/100 g)
1,,,,,,FCTc,USDAd,BEDCAe
2,Spinach,Spinacia oleracea,91.5  1.9,140.9  21.3,422.6  64.0,140,194,143.2
3,Rocket,Eruca sativa,90.2  2.3,139.2  15.4,139.2  15.4,97,97,-
4,Watercress,Nasturtium officinale,91.4  1.8,127.9  10.8,159.9  16.2,214,9,-
5,Chard,Beta vulgaris subsp.cicla,92.3  1.2,95.3  13.0,286.0  39.2,140,14,-
6,Broccoli,Brassica oleracea L.var.italica,88.0  5.6,70.1  11.6,210.0  34.9,90,63,110
7,Corn salad,Valerianella locusta,92.6  1.0,64.8  12.0,81.0  15.0,-,14,-
8,Escarole,Cichorium endivia L.var. latifolium,95.0  0.5,47.7  16.1,81.1  27.4,267,-,
9,Iceberg lettuce,Lactuca sativa,95.9  0.5,34.8  10.4,69.6  20.7,53,29,-
10,Beetroot,Beta vulgaris,87.7  0.5,29.4  06.7,132.5  30.2,90,109,-
11,Carrot,Daucus carota L.var.sativus,90.5  1.9,18.6  03.5,27.8  05.9,10,19,-
12,Corn cob,Zea mays,76.0  0.9,14.9  04.4,59.6  17.5,20,42,-
13,Potato,Solanum tuberosum,81.5  0.3,12.3  05.5,55.3  24.8,25,30,-
14,Pineapple,Ananas comosus,85.3  1.0,10.5  01.2,42.0  05.3,10,18,-
15,Coconut,Cocos nucifera,49.0  3.1,10.0  04.0,10.0  04.0,26,26,-
