,0,1,2,3
0,FFA,Echium oil,Propionic acid:Anisole,
1,Conc.(%),,Liquid phase,Solid phase
2,Palmitic,6.8,0.20.0,10.4 0.1
3,Stearic,3.5,0.10.0,5.40.0
4,Oleic,15.2,0.60.1,23.3  0.1
5,Linoleic,15.1,6.70.3,19.80.1
6,-linolenic,11.5,29.60.4,1.50.0
7,a-linolenic,33.4,24.0  0.7,38.4  0.2
8,Stearidonic,14.4,38.8 0.6,1.10.1
9,Yield (%),,,
10,Palmitic,,1.00.0,99.0 0.3
11,Stearic,,1.00.1,99.0 0.7
12,Oleic,,1.50.2,98.50.8
13,Linoleic,,16.00.9,84.00.5
14,-linolenic,-,91.61.1,8.40.2
15,-linolenic,,26.0 1.1,74.00.4
16,Stearidonic,-,95.11.1,4.9  0.2
17,Total yield (%),,36.0  0.6,64.0  0.2
