,0,1,2,3,4,5,6,7,8,9
0,,,Ara (mg/g,GIc (mg/g,Rha (mg/g,Glu (mg/g,Man (mg/g,Xyl (mg/g,Rib (mg/g,Fuc (mg/g
1,,,pectin),pectin),pectin),pectin),pectin),pectin),pectin),pectin)
2,Orange peels,CASS,13610,35  6,184,11  4,10,51,-,
3,,DASS,266  38,105  22,379,101,10,50,1,
4,Fresh pumpkins,CASS,32  25,12  4,1611,104,,26  30,,
5,,DASS,172,161,161,16 1,-,131,,
6,Leek leaves,CASS,171,21  2,71,6 1,-,11,-,
7,,DASS,127,199,106,2  2,23,11,-,-
8,Endive roots,CASS,311,13  3,141,6  1,51,-,-,
9,,DASS,22  8,72,84,11,-,10,-,-
10,Fresh cabbage,CASS,54 6,64  10,23  4,20  6,-,12  1,-,
11,,DASS,195  21,158  14,39  13,21  1,40,26  2,-,
12,Onion hulls,CASS,140,38  18,20  4,18  2,-,-,-,
13,,DASS,135,107  24,21 6,13  5,,+,-,-
14,Parsley,CASS,653,651,23  1,170,-,30,-,2  0
15,,DASS,108  10,1318,36  4,20  1,,80,1,5  0
16,Endive leaves,CASS,20 1,12  1,21 0,51,50,41,1,3  0
17,,DASS,36  8,20  5,33  6,5 1,72,61,1,6 1
18,Apple cake,CASS,5815,27  2,111,27  1,-,27  5,-,
19,,DASS,85  7,26  1,22  1,16  1,1,,-,-
20,Pea pod,CASS,129  2,29  1,31  4,14  2,-,107  2,-,-
21,,DASS,77  28,16  5,19  13,1 2,-,36  18,-,-
22,Sour cabbage,CASS,1451,44  5,41 9,22  4,-,-,-,-
23,,DASS,19545.51,63.47  8,41 9,22  4,,20  2,,
24,Sour cucumber,CASS,19  0.06,39.64  1,8  2,71,16  2,13 0,,
25,,DASS,35  1.74,122.73  7,171,71,45  1,26  9,,
26,Sugar beat flakes,CASS,298  24.93,44.04  0,36  3,72,-,-,,
27,,DASS,266  74.65,50.16  5,25  9,5  3,-,-,,11
28,Pumpkin kernel,CASS,32  5.44,17.00  4,21  1,24  2,,32  3,,11
29,cake,DASS,29  2.13,22.68  1,22  3,33  1,-,36  1,-,-
30,Berries,CASS,40  11.39,92.78  35,14  5,36  41,-,-,-,-
31,,DASS,26  2.44,30.16  6,14  2,15  2,,-,-,-
32,Apple pomace,CASS,73  16.07,21.33  2,39  3,73  3,12 3,9 13,-,-
33,,DASS,67  2.73,16.91  1,35 0,55  2,-,6  5,-,-
34,Rapeseed press,CASS,76  5.43,17.75  1,91,101,8  1,301,-,9  2
35,cake,DASS,68  18.87,18.09  6,8  2,9  2,9 2,21  4,5  2,116
36,Seabuckthorn,CASS,97  50.21,9.92  4,126,6  3,-,8  4,5 3,-
37,pulp,DASS,75  9.05,16.45  1,110,15  0,102,91,72,
38,Hop,CASS,43  9.84,24.47  4,164,8  2,102,27  10,-,31
39,,DASS,35  25.41,19.75  14,15 13,6 6,8 6,117,,3  2
40,Olive pomace,CASS,159  15.84,20.87  7,53  7,34  23,-,1811,-,20  17
41,,DASS,220  30.98,27.83  3,6111,28  4,112,26  18,,
42,Whole apple,CASS,79  14.06,24.39  16,153,162,9 5,47  17,,70
43,,DASS,88  12.21,38.46  8,20 3,10  2,-,20 6,1,31
44,Tomato skins,DASS,19  2.99,38.85  0,143,71,160,13  2,1,-
45,,DASS,29  9.15,102.94  9,143,6 3,38  11,23  13,-,
46,Grape pomace,CASS,12  3.24,8.13  2,102,31,-,62,,
47,,DASS,15  3.07,9.63  3,102,121,61,8.89  1,,
48,Whole pear,CASS,64  8.92,14.35  1,25  2,8  1,60,19.81  2,11,11
49,,DASS,99  1.19,29.87  2,32  1,106,-,37.26  15,11,11
