,0,1
0,Commercial sample,Home-made sample
1,Brand name,Name of the volunteer
2,Name of outlet,
3,Type of outlet,Address of the volunteer
4,Manufacturer details,
5,Country of origin,Date food cooked
6,Use by date/best before date,
7,Batch code,List of ingredients
8,Listed ingredients,
9,Label claims,Method of food preparation and
10,Quantity of ingredients,cooking
11,Date of collection,Date of sample collection
12,"State of food at time of purchase(i.e.raw,",Date of composite sample preparation
13,prepared (hot or cold),
