,0,1,2,3,4,5,6
0,Bioactive,Onion variety,Extraction condition,amount,Average and range,,references
1,compound,,,,,,
2,Flavanols,Red onion solid,HPLC-ESI-MS system,About 151 mg/100 g,,-,Nile et al.2021a)
3,,waste,,dry extract,,,
4,Quercetin,Red onion skin,Ultrasonication for 2 h 35% acetone,64.80  1.41 mg/g,Average: 40.36 mg/g Rage: From 3.92 mg/g,,Skerget et al.2009
5,,(Red baron),,,to 83.48 mg/g,,
6,,Red onion skin,50% aqueous methanol,83.48 mg/g,,,Nuutila et al.(2003)
7,,,Methanol/water(1:1),5.110 mg/g,,,Prakash et al.2007)
8,,,80% ethanol,32.5 mg/g,,,Nile et al.2021b
9,,,HPLC-ESI-MS system,57.5  1.5 mg/100 g,,,Nile et al.2021a)
10,,,,of dry extract,,,
11,,,"Methanolic extract, ethyl acetate",3.92  29.7 mg/g,,,Singh et al.(2009)
12,,,fraction,,,,
13,Sulfur,Onion skin (Recas),Methanol/water/HCl (70:29.5:0.5),About 100  2.1,,-,Benitez et al.(2011b)
14,compounds,,,mol/g DM,,,
15,Dietary fibers,Onion skin,Methanol/water/HCl (70:29.5:0.5),About 750 mg/g DM,,,Benitez et al.(2011b)
16,,(Figueres),,,,,
