,0,1,2,3
0,Composition,Chemical structure,Residue,Ref.
1,Flavanols,Kaempferol-3-O-,Pulp,Wojdyto et al.2017
2,,galactoside,,
3,,,Leaves,"(Cyboran et al.,2014;Pinto"
4,,,,"et al.,2020"
5,,Quercetin-3-O-,Pulp,"Wojdyto et al.,2017"
6,,rutinoside,,
7,,Quercetin,Skin,"Dias et al.,2020"
8,Flavan-3-ols,Epicatechin,Skin,Dias et al.2020
9,,,Leaves,"Cyboran et al.,2014;Pinto"
10,,,,"et al.,2020"
11,,Catechin,Skin,"(Alim et al.,2019"
12,,,Leaves,"(Cyboran et al.,2014;Pinto"
13,,,,"et al.,2020"
14,,,Roots,"Latocha,2017:Lee et al."
15,,,,"2014;Pinto et al.,2020"
16,,Epigallocatechin,Pulp,"Leontowicz et al.,2016"
17,,gallate,,
18,,Polymeric,Pulp,"(Wojdyto et al.,2017"
19,,procyanidins,,
20,,Procyanidin dimer,Leaves,"(Cyboran et al.,2014;Pinto"
21,,type B,,"et al.,2020"
22,Phenolic,Caffeic acid,Pulp,"Wojdyto et al.,2017"
23,acids,,,
24,,,Seeds,"Deng et al.,2016"
25,,Chlorogenic acid,Pulp,"Leontowicz et al.,2016"
26,,,,"Wojdylo et al.,2017"
27,,,Leaves,"(Cyboran et al.,2014;Pinto"
28,,,,"et al., 2020)"
29,,Protocatechuic acid,Seeds,"Deng et al.,2016"
30,,p-coumaric acid,Seeds,"Deng et al.,2016"
31,,,Leaves,"(Cyboran et al.,2014;Pinto"
32,,,,"et al., 2020)"
33,,Ferulic acid,Seeds,"Deng et al.,2016"
34,,Di-O-caffeoylquinic,Pulp,"(Leontowicz et al.,2016"
35,,acid,,
36,Anthocyanins,Cyanidin-3-O-,Pulp,"Wojdyto et al.,2017"
37,,sambubioside,,
38,Tocopherols,-tocopherol,Skin,"Dias et al.,2020"
39,,-tocopherol,Skin,"Dias et al.,2020"
40,,-tocopherol,Skin,"Dias et al.,2020"
41,,,Seeds,Deng et al.2016
42,Organic acids,Quinic acid,"Skin,","Dias et al.,2020;Wojdyto"
43,,,Pulp,"et al.,2017"
44,,Malic acid,Skin,"Dias et al.,2020"
45,,Citric acid,Skin,"Dias et al.,2020"
46,,Ascorbic acid,Skin,"Dias et al.,2020"
