,0,1,2,3,4,5,6,7,8,9,10
0,Milk type,Whole (n=9,,,,,Partially skimmed (n = 11),Partially skimmed (n = 11),,,
1,Brand (n),Sancor*,La Suipa chense,"Milkaut""",Mean*,CV**,Milkaut',"Coto""",Las tres Ninias,"Mean""",CV**
2,,(4),(4),(1),(9),(%),(-1,(5,(5),(11,(%)
3,Total solids (g/100 g),88.4,88.7,88.2,88.5,0.23,90,90.9,89.9,90.3,0.62
4,Total solids (g/100 g),11.6,11.3,11.8,11.5,1.78,10,9.1,10.2,9.66,5.75
5,Protein (g/100 g),3.23,3.13,3.35,3.2,3.28,3.3,3.13,3.4,3.27,7.7
6,Ash(g/100 g),0.66,0.68,0.7,0.67,2.57,0.68,0.65,0.7,0.67,5.53
7,Lipids (g/100 g),3.05,3,3.14,3.04,1.62,1.88,1.58,1.66,1.6,6.88
8,Ca (mg/100 g),120,132,137,127,8.8,119,115,131,123,6.2
9,SAFA (g/100 g lipid),66.7,66.6,67.2,66.7,0.8,72.4,70.8,69.8,70.5,1.3
10,MUFA(g/100 g lipid),29.7,29.8,29.7,29.7,1.4,25,26.3,26.9,26.4,2.8
11,PUFA (g/100 g lipid),3.65,3.61,3.16,3.58,5.6,3.16,2.92,3.33,3.12,7.15
