,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Currant bread1,Currant bread1,White bread2,White bread2,Muesli fortified with,Muesli fortified with,Apple sauce2,,Orange juice2,Orange juice2,"Raw pasta,white","Raw pasta,white"
1,,,,,,dietary fibre1,dietary fibre1,,,,,,
2,,AOAC,AOAC,AOAC,AOAC,AOAC,AOAC,AOAC,AOAC,AOAC,AOAC,AOAC,AOAC
3,,985.29,2009.01,985.29,2009.01,985.29,2009.01,985.29,2009.01,985.29,2009.01,985.29,2009.01
4,,,,,,,g/100 g,,,,,,
5,Protein,13.5,13.5,9.0,9.0,10.8,10.8,0.2,0.2,0.7,0.7,12,12
6,Fat,3.7,3.7,1.6,1.6,9.4,9.4,0,0,0,0,2,6.5
7,HMWDF3,6.6,6.8,3.0,3,11,11,1.4,1.2,0.7,1,6.7,6.5
8,LMWDF3,,4.7,,1.1,,9.4,,1.4,,1.4,,2.1
9,Sorbitol,1.4,1.4,,,,,,,,,,
10,Isomalt,,,,,,3.2,,,,,,
11,Available,39.7,34.1,49.1,48.0,64.0,51.4,11.0,9.8,9.0,7.3,69.3,67.4
12,carbohydrates,,,,,,,,,,,,
13,,,,,,,kcal/100 g,,,,,,
14,Energy excl DF4.5,249,227,247,242,384,341,45,40,39,32,343,336
15,Energy incl DF4.5,263,250,253,251,406,382,48,45,40,37,357,353
