,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Peak,Chlorophyll compound,Week 1,,Week 2,,Week 3,,Week 4,,Week 5,,Week 6,
1,,,Pellet,Feces,Pellet,Feces,Pellet,Feces,Pellet,Feces,Pellet,Feces,Pellet,Feces
2,1,Chlorin p6,0.83,,0.85,,0.87,,0.81,,0.80,,0.86,
3,2,Cu-132-hydroxy-pheophorbide a,0.61,,0.28,,0.52,,1.08,,0.50,,0.47,
4,3,Cu-pheophorbide a,1.17,,0.40,,0.74,,0.63,,1.50,,0.94,
5,4,Cu-pheophorbide b,0.63,,0.28,,0.53,,0.97,,0.66,,0.77,
6,5,Cu-pyropheoporbide a,4.58*,3.06,3.99,3.84,3.70,3.77,3.23,2.65,3.89,3.26,4.33*,3.62
7,9,132-hydroxy-pheophytin b,1.15,1.32,1.35,1.27,1.04,1.72,1.21,2.01*,1.08,1.68,1.62,1.13
8,10,Cu-pheophytin b,1.11,0.85,1.34,1.04,0.68,1.16,1.57,0.87,1.00,1.37,1.88,2.43*
9,12,Cu-132-hydroxy-pheophytin ,1.39,2.48*,1.15,1.45,1.08,2.08*,1.89,2.72,1.96,2.80,0.96,1.04
10,13,Cu-15-hydroxy-lactone-pheophytin a,5.92,5.75,5.01,5.10,6.37,7.24*,6.59,6.24*,5.33,5.68,5.85,5.13
11,14,pyropheophytin b,6.13,6.52,7.08,6.90,6.92,6.41,6.59,6.91,5.33,6.90*,6.58,7.02
12,15,Cu-pheophytin a,1.22,1.93,1.70,1.56,1.08,1.21,1.18,1.86*,1.79,1.49,1.21,1.33
13,16,Cu-pyropheophytin b,4.27,4.02,4.36,4.03,4.01,4.07,4.23,3.98,4.06,3.56,4.52,4.18
14,17,Cu-pheophytin a,0.81,0.65,0.57,0.81,0.64,0.76,1.09,1.19,0.73*,1.01,0.68*,0.94
15,18,Cu-pyropheophytin a,69.31,72.84,70.78,73.04,70.88,71.11,69.34,70.68,70.47,71.35,68.44*,72.31
16,19,Phytyl-chlorin p6,0.86,0.87,0.88,0.97,0.93,0.87,0.85,0.89,0.92,0.90,0.89,0.88
