,0,1,2,3,4,5,6,7
0,Samples,Spike level (ng-mL-1),Proposed Method,,,ELISA Method,,
1,,,Detection value  SD a (ng.mL-1),Recovery (%),RSD b %),Detection value  SD (ngmL-1),Recovery (%),RSD (%)
2,Milk,1,1.06  0.06,105.74,7.68, c,,
3,,100,10.54  0.81,105.37,7.68,10.24  1.21,107.18,11.87
4,,100,98.11 3.06,98.11,3.12,107.18  1.52,107.18,1.42
5,Pork,1,1.02  0.07,102.18,7.34,-,,
6,,10,11.29  0.62,112.92,5.47,11.03  0.48,110.34,4.41
7,,100,100.32  8.54,100.32,8.52,106.19  0.20,106.19,0.19
8,Tap Water,1,1.07  0.08,107.00,7.89,>,,
9,,10,9.69  0.62,96.89,6.42,10.52  1.04,104.06,9.96
10,,100,102.57  7.78,102.57,7.59,104.06  2.77,104.06,2.66
