,0,1,2
0,,,"quality. Food Chemistry, 152(Supplement C), 162168."
1,"-Estrada,B.A.,Gutierrez-Uribe,J.A.,& Serna-Saldivar,S.O.2014).Bound",,"Lucas-Gonzalez, R.,Viuda-Martos,M.,Perez Alvarez,J.A.,&Fernandez-Lopez,J.2"
2,"enolics in foods,a review.Food Chemistry,152,46-55.","enolics in foods,a review.Food Chemistry,152,46-55.","Changes in bioaccessibility, polyphenol profile and antioxidant potential of flo"
3,"es-Ricardo, M., Rodriguez-Rodriguez, C., Gutierrez-Uribe, J. A., Cepeda-Canedo, E.,",,obtained from persimmon fruit (Diospyros kaki) co-products during in vitro gast
4,"Serna-Saldivar, S.O.(2017).Bioaccessibility, intestinal permeability and plasma",,"intestinal digestion. Food Chemistry,256,252-258."
5,bility of isorhamnetin glycosides from Opuntia ficus-indica (L..International,,"Lutterodt,H., Slavin, M.,Whent,M.,Turner,E., Yu, L.2011.Fatty acid composi"
6,"urnal of Molecular Sciences,188,1816.","urnal of Molecular Sciences,188,1816.","oxidative stability, antioxidant and antiproliferative properties of selected cold"
7,"M.B.,Cano, A.,& Acosta,M.2001.The hydrophilic and lipophilic contribution",,"pressed grape seed oils and flours. Food Chemistry, 128(2), 391-399."
8,"total antioxidant activity. Food Chemistry, 73(2), 239244.","total antioxidant activity. Food Chemistry, 73(2), 239244.","Medouni-Adrar, S., Boulekbache-Makhlouf, L., Cadot, Y., Medouni-Haroune, L.,"
9,"gtonT., Nzaramba, M. N.,Scheuring,D.C.,HaleA. L.,Reddivari,L.,& Miller,J.",,"Dahmoune,F., Makhoukhe,A.,&Madani,K.(2015).Optimization of the recove"
10,Jr 2010. Cooking methods and storage treatments of potato: Effects on car-,,phenolic compounds from Algerian grape by-products. Industrial Crops and Pro
11,"enoids, antioxidant activity, and phenolics. American Journal of Potato Research,",,"77(Supplement C,123-132."
12,"6,479-491.","6,479-491.","Minekus, M., Alminger, M., Alvito, P., Ballance, S., Bohn, T., Bourlieu, C.,... Brodkor"
13,"J.,Brown, D.,& Liu, R. H.2005. In vitro digestion and lactase treatment influ",,2014.A standardised static in vitro digestion method suitable for food -An i
14,ce uptake of quercetin and quercetin glucoside by the Caco-2 cell monolayer.,,"national consensus.Food and Function,56,1113-1124."
15,"ttrition Journal, 4(1, 1.","ttrition Journal, 4(1, 1.","Mitic,M. N.,Souquet,J.M.,Obradovic,M.V.,& Mitic,S.S.2012).Phytochemice"
16,"ovic, J.,Zivkovic,S.,Gasic, U.,Glamoclija, J.CiricA., MatekaloD.,...Misic, D",,profiles and antioxidant activities of Serbian table and wine grapes. Food Scienc
17,018). In vitro and in vivo transformations of Centaurium erythraea secoiridoid glu-,,"Biotechnology,216),1619-1626."
18,sides alternate their antioxidant and antimicrobial capacity. Industrial Crops and,,"Nassiri-Asl, M.,& Hosseinzadeh,H.2016.Review of the Pharmacological Effects of"
19,"oducts,111,705-721.","oducts,111,705-721.",vinifera (Grape and its Bioactive Constituents: An Update. Phytotherapy Researo
20,"K.M.,Decker,E.A.,& Feustman,C.1994.Endogenous skeletal muscle anti-",,1392-1403.
21,"idants. Critical Reviews in Food Science and Nutrition, 34(4), 403426.","idants. Critical Reviews in Food Science and Nutrition, 34(4), 403426.","Ozdal,T.,Capanoglu,E.& Altay,F.2013.A review on protein-phenolic interact"
22,"ic Velickovic,T.D., & Stanic-Vucinic,D. J.(2018).The role of dietary phenolic",,"and associated changes.Food Research International,512,954-970."
23,mpounds in protein digestion and processing technologies to improve their anti-,,"Pantelic,M.M.,Dabic Zagorac,D.C.,Davidovic,S.M.,Todic,S.R.,Beslic,Z.S.,Gas"
24,"tritive properties. Comprehensive Reviews in Food Science and Food Safety, 171",,"M.,... Natic, M. M.(2016. Identification and quantification of phenolic compo"
25,,103.,"in berry skin,pulp, and seeds in 13 grapevine varieties grown in Serbia. Food"
26,"nargo,A.C.,Regitano-D'Arce,M.A.B.,Biasoto,A.C.T.,&Shahidi,F.2014.Low",,"Chemistry, 211(Supplement C), 243-252."
27,olecular weight phenolics of grape juice and winemaking byproducts: Antioxidant,,"Pekal,A.,& Pyrzynska,K.2014).Evaluation of aluminium complexation reaction"
28,"Id DNA strand breakage. Journal of Agricultural and Food Chemistry, 62(50),",,"flavonoid content assay. Food Analytical Methods, 7(9), 1776-1782."
29,"Id DNA strand breakage. Journal of Agricultural and Food Chemistry, 62(50),",,"Pineda-Vadillo, C.,Nau, F., Dubiard, C. G.,Cheynier,V., Meudec, E.,Sanz-Buenhon"
30,159-12171.,159-12171.,"M., ... Dupont, D. (2016). In vitro digestion of dairy and egg products enriched"
31,"Q.,Penner, M. H., & Zhao,Y.2011.Chemical composition of dietary fiber and",,grape extracts: Effect of the food matrix on polyphenol bioaccessibility and ant
32,lyphenols of five different varieties of wine grape pomace skins. Food Research,,"oxidant activity.Food Research International, 88(Part B),284-292."
33,"ternational, 44(9),2712-2720.","ternational, 44(9),2712-2720.","Prior, R. L.,Wu,X., & Schaich, K.(2005). Standardized methods for the determinati"
34,"C., Loonis,M., Delosiere,M., Buffiere, C., Hafnaoui,N., Sante-Lhoutellier, V.,&",,antioxidant capacity and phenolics in foods and dietary supplements.Journal c
