,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Matrix,Extracting solvent,TC,"Energy (W,",Other operation,Target compounds,Chemical structure of main compounds,,,,,,,Extraction recovery/,Antioxidant capacity,Reference
1,,,,kHz),parameters,,,,,,,,,yield,(method),
2,Apple tree leaves,,,,,,,,,OH,,,,TPC:35.67 to 57.74,,
3,(different,,,,,,,,,,,,,mg GAE/g,,
4,cultivars),,,,,,,,,,,,,,,
5,,,,,,,,,,,,,OH,,,
6,,,,,,,,HO,,,,,,,,
7,,,,,,,,,HO,,,,,,,
8,,,,,,,1988 to 4290g/g DW,1988 to 4290g/g DW,,,,,,,,
9,,,,,,,Kaempferol-3-,,,,,,,,,
10,,,,,,,,,,,OH,,,,,
11,,,,,,,,,HO,,,,,,,
12,,,,,,,glucoside,,,,,,,,,
13,Grape canes,60% Ethanol,75,140W,1:40 (sample/,Stilbenes,trans-e-Viniferin,,,,,,,n.d,n.d,"Pineiro et al., 2016"
14,(different,,,,"solvent ratio, w/v);",,,,,,,,,,,
15,cultivars),,,,10 min,,,,,,,,,Total stilbenes,,
16,,,,,,,,,OH,,,,,content: 1362.9,,
17,,,,,,,,,,,,,,19.8 mg/kg,,
18,,,,,,,,,,,,OH,,,,
19,,,,,,,620.1 to 2996.1 mg/kg DW,,620.1 to 2996.1 mg/kg DW,620.1 to 2996.1 mg/kg DW,,,,,,
20,,,,,,,trans-Resveratrol,trans-Resveratrol,,,,,,,,
21,,,,,,,HO,,,,,,,,,
22,,,,,,,OH,,,,,,,,,
23,,,,,,,37.5 to 1529.4 mg/kg DW,37.5 to 1529.4 mg/kg DW,37.5 to 1529.4 mg/kg DW,,,,,,,
24,Grape pomace,Ethanol/water 1:1,20,300 W,60 min,"Anthocyanins,flavonols",Malvidin-3-glucoside,Malvidin-3-glucoside,,,,,,~10%,0.91 0.02 mg/mL,"Drosou et al.,2015"
25,,(v/v),,,,,,,,,,,,,EC5o(DPPH),
26,,,,,,,,,OCH3,,,,,TPC: 167661  7277,,
27,,,,,,,,,OH,OH,,,,ppm,,
28,,,,,,,,,,OCH,,,,,,
29,,,,,,,,,,,,,OH,,,
30,,,,,,,OH,HO,,,,,,,,
31,,,,,,,,,HO,,,,,,,
32,,,,,,,17052297 ppm,17052297 ppm,,,,,,,,
