,0,1,2,3,4,5,6,7,8
0,Year,na,Type of tissue,Weight (g),,Length (cm),,K-factorb,
1,,,,Mean  SD,Min -Max,Mean  SD,Min -Max,Mean  SD,Min -Max
2,2005,50c,Fillet,4037  928,9405800,67  6,5680,1.4  0.4,0.82.7
3,2006,40,Fillet,2628  1187,9405800,58  9,4178,1.3  0.2,0.62.0
4,2010,33,Fillet,40091168,9976262,68  7,48-83,1.3  0.2,0.92.1
5,2011,100,NQC,4324  1218,21509200,73  7,5793,1.1  0.2,0.71.5
6,2012,100,NQC,N/Ad,N/Ad,N/Ad,N/Ad,N/Ad,N/Ad
7,2013,100,NQC,3647  905,1300-5800,68  6,5379,1.1  0.1,0.61.5
8,2014,100,NQC,4751  1109,1877-8184,71  5,5584,1.3  0.2,1.01.8
9,2015,100,NQC,4103  1069,18138155,70  5,5783,1.2  0.2,0.81.6
10,2016,100,NQC,3652  877,1500-5800,69  5,5581,1.1  0.2,0.71.4
11,2017,100,NQC,3845  1147,9006300,69  7,5182,1.1  0.2,0.61.5
12,2018,100,NQC,3845  1147,1000-7600,69  5,5383,1.1  0.2,0.61.5
13,2019,105e,NQC,3874  992,1008-6540,69  5,54-80,1.2  0.2,0.62.1
14,2020,80,NQC,3818  874,1850-5630,69  6,5281,1.2  0.2,0.81.6
