,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Compound,RetentionTime,Experimental,Theoretical,Mass,Elemental,(A2,Cone,LOD,Percentage,Percentage, Percentage,Percentage
1,,(min),m/z,m/z,error,composition,(A2,voltage,(mg),Recovery (RSD%,Recovery (RSD%,Recovery (RSD%),Recovery (RSD%)
2,,(min),,,(mDa),,(A2,(V,kg),Sunflower oil,Beans,Chicken soup, Whole milk
3,PA6,2.50,113.0841,113.0841,0.0,C6H12NO,127.88,30,0.031,98 (3.0),78 (5.5),96 (3.5),88 (5.6)
4,PA 6 dimer,2.29,227.1753,227.1760,-0.7,C12H23N2O2,155.44,30,0.062,100 (5.6),95 (7.6),102 (5.1),90 (5.2)
5,PA 6 trimer,3.10,340.2593,340.2600,-0.7,C18H34N303,182.05,30,0.110,99 (7.1),85 (8.1),102 (5.1),85 (4.8)
6,PA6,3.66,453.3436,453.3441,-0.5,C24H45N4O4,209.73,30,0.082,87 (2.6),80 (9.2),98 (1.6),81 (8.6)
7,tetramer,,,,,,,,,,,,
8,PA6,4.03,566.4269,566.4281,-1.2,C30H56N5O5,237.61,40,0.054,80 (5.0),79 (10.3),91 (2.2),93 (4.8)
9,pentamer,,,,,,,,,,,,
10,hexamer,4.33,701.4928,701.4942,-1.4,C36H66N6O6Na,265.41,40,0.110,78 (11.0),73 (15.0),83 (5.0),87 (2.6)
11,PA 66,2.61,227.1753,227.1760,-0.7,C12H23N202,153.61,30,0.054,97 (5.3),98 (7.9),89 (6.9),91 (8.1)
12,monomer,,,453.3441,,,,,,,,100 (8.0),
13,PA 66 dimer,3.88,453.3437,453.3441,-0.4,C24H45N4O4,214.07,30,0.071,102 (5.8),95 (8.7),100 (8.0),100 (6.3)
14,PA 66,4.55,701.4935,701.4942,-0.7,C36H66N6O6Na,270.69,40,0.120,89 (8.0),81(10.,99 (7.0),98 (1.9)
15,trimer,,,,,,,,,,,,
