,0,1
0,METHOD,LINK
1,Ant Colony Optimization (ACO for PLS,https://www.iquir-conicet.gov.
2,,ar/esp/div5.php?area=12
3,Ant Colony Optimization (ACO) for LDA,Under request to araujo.gomes@ufrgs.br
4,"Ant Colony (ACO),Particle Swarm",https://yarpiz.com/306/ypml122-e
5,"Optimization (PSO,and Simulated",volutionary-feature-selection
6,Annealing (SA),
7,Bootstrapping Soft Shrinkage Approach,http://www.mathworks.com/matlabce
8,(BOSS),ntral/fileexchange/52770-boss
9,Genetic Algorithm (GAfor PLS,http://www.models.life.ku.dk/GAPLS
10,"Interval ToolboxiPLS,biPLS,fiPLS,",http://www.models.life.ku.dk/iToolbox
11,"siPLS, MWPLS)",
12,MVC1-iPLS,https://www.iquir-conicet.gov
13,,ar/esp/div5.php?area=12
14,Ordered Predictors Selection (OPS,https://lqta.iqm.unicamp.br/programa
15,,sOPS.html
16,Recursive PLS(rPLS),http://www.models.life.ku.dk/rPLS
17,Reshaped Sequential Replacement,https://michem.unimib.it/download
18,Toolbox,/matlab-toolboxes/reshaped-sequential
19,,replacement-toolbox-for-matlab/
20,Successive Projections Algorithm (SPA,www.ele.ita.br/~kawakami/spa
21,for MLR,
22,SPA Toolbox (iSPA-PLS and SPA-LDA),Under request to araujo.gomes@ufrgs.br
23,Stepwise (SW),Available in MATLAB
24,Variable Combination Population,http://www.mathworks.com/matl
25,Analysis (VCPA),abcentral/fileex-change/author
26,,s/498750
27,Weighted Binary Matrix Sample (WBMS),https://sourceforge.net/projects/multi
28,,variate-analysis/files/VISSA/
