,0,1,2,3
0,RT (min),Compound,Percentage,RI
1,8.5,o-Pinene,4.0,1036
2,12.5,o-Phellandrene,2.4,1173
3,14.0,Limonene,29.9,1206
4,14.3,"1,8-Cineole",34.6,1233
5,14.8,-Ocimene,0.5,1238
6,15.2,-Terpinene,7.4,1247
7,16.1,p-Cymene,10.5,1269
8,17.6,Epoxylinalol,0.1,
9,22.4,Linalool oxide,0.1,1423
10,24.7,Linalool,0.2,1506
11,25.9,Fenchol,0.1,1574
12,26.5,Terpinen-4-ol,0.5,1601
13,27.6,Menthol,0.2,1612
14,28.1,Pinocarveol,0.2,-
15,29.3,a-terpineol,0.8,1731
16,,Monoterpene hydrocarbon,54.7,
17,,Oxygenated monoterpenes,36.8,
18,,Total identified compound,91.5%,
