,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,STFSP,,,,,100,,pII'O F 9I'Z,,,qI8'0 F 88'9,,,,,,
1,,STFSP,,pn,pn,,,,pII'O F 9I'Z,,,qI8'0 F 88'9,,,,,,
2,,PP,,,,1,1,,qS8'I F S9'9L,,,,r04'9ZF 99'8I8,,,,,
3,N001/)des,LT,qI0'0 FI9'9I,,,10080,,,,q06'8 F 80'vv,,,,,,pn,pn,
4,N001/)des,,000000,,000,100,,,,,qIO'O F tZ'bI,,"q9I'O F 8S""OII",,,,,
5,N001/)des,,000000,,546,,,,,,qIO'O F tZ'bI,pu,"q9I'O F 8S""OII",,,,pn,
6,,,,,,,,CO0 IH87,O8H6D,,08H63,,,,,,,
7,[H-W],,,11116,,,,,,,,,,,,,,
8,,,47,,,,,,,112,I'll,111,113,122,175,,204,
9,,,,toso.Axo.pH,,,,,,,,,,,,,,
10,ON,,1,,345,345,345,,7,8,9,,,,,,,(W001/AVdL
