,0,1,2
0,Group,Composition,References
1,Fibers,46-64%,"BotinesteanHadaruga,Hadaruga"
2,,,Jianu2012);El Anany2015);Isik&
3,,,Yapar 2017);Nicanor et al.A
4,,,"Bernardino-Nicanor et al.,2001"
5,Protein/Amino acids,7.9-8.41%,
6,Histidine (His),2.02 mg/100 g,Mechmeche et al.2017)
7,Isoleucine (Ile),4.05 mg/100 g,
8,Leucine (Leu),5.93 mg/100 g,
9,Lysine (Lys),0.91 mg/100 g,
10,Threonine (Thr),3.93 mg/100 g,
11,Valine (Val),5.35 mg/100 g,
12,Total sulfur amino,5.65 mg/100 g,
13,acids(Met+Cys,,
14,Total aromatic amino,6.73 mg/100 g,
15,acids(Phe+Tyr,,
16,Alanine(Ala),6.34 mg/100 g,
17,Arginine (Arg),8.52 mg/100 g,
18,Aspartic acid (Asp),5.49 mg/100 g,
19,Glutamic acid (Glu),9.06 mg/100 g,
20,Glycine (Gly),18.75 mg/100 g,
21,Proline (Pro),8.65 mg/100 g,
22,Serine (Ser),5.98 mg/100 g,
23,Lipids/Fatty acid,12-16%,
24,profile,,
25,SFA,12.94-13.52 %,Durante et al.2017
26,MUFA,7.28-9.56 %,
27,PUFA,75.64-77.5%,
28,Linoleic acid,75.25-77.35%,
29,C18:2n-6,,
30,Oleic acid(C18:1n-9,7.11-9.42%,
31,Palmitic acid (C16:0,8.00-9.51%,
32,Stearic acid (C18:0,0.16-4.48%,
33,Linolenic acid,0.15,
34,C18:3n-3),,
35,Minerals,,
36,Phosphorus (P),0.30-212.14 mg/,Isik&Yapar(2017)
37,,100g,
38,Sodium (Na),326.81 mg/100 g,
39,Potassium (K),0.20-564 mg/,
40,,100 g,
41,Magnesium (Mg),0.13-119.72mg/,
42,,100g,
43,Calcium (Ca),0.05-143.37 mg/,
44,,100g,
45,Iron (Fe,13.8-13.94 mg/,
46,,100g,
47,Zinc (Zn),3.31-3.15 mg/,
48,,100g,
49,Manganese (Mn),0.44-1.17 mg/,
50,,100g,
51,Copper (Cu),1.90-1.91 mg/,
52,,100 g,
53,Vitamins,,
54,Vitamin C,87.44 mg/100 g,Durante et al.2017
