,0,1,2,3,4,5,6,7,8,9
0,,Seitan,,Tofu,,,Soya milk,,Pea emulsion,P
1,Histidine,1.34 0.03,1.34 0.03,5.91b,#,0.06,5.65b,0.10,0.04,0.001
2,Isoleucine,3.79b  0.05,3.79b  0.05,4.94a,+,0.09,4.74a,0.16,0.05,0.001
3,Leucine,7.150.07,7.150.07,8.13b,,0.17,7.46,0.22,0.08,0.001
4,Lysine,1.34c  0.08,1.34c  0.08,5.91b,+,0.13,5.65b,0.15,0.09,0.001
5,Methionine,2.00a,0.02,1.07c,+,0.07,1.42b,0.04,0.04,0.001
6,Cysteine,2.08a,0.12,1.17b,+,0.16,1.82a,0.07,0.09,0.001
7,Phenylalanine,5.37b 0.11,5.37b 0.11,5.76a,+,0.13,5.30b,0.13,0.08,0.001
8,Tyrosine,2.40 0.04,2.40 0.04,2.84b,+,0.09,0.09,0.09,0.08,0.001
9,Threonine,2.27 0.13,2.27 0.13,3.71a,+,0.18,3.73a,0.16,0.11,0.001
10,Tryptophan,2.73b 0.13,2.73b 0.13,2.63b,+,0.06,0.06,0.06,0.11,0.002
11,Valine,3.95b,0.08,4.90a,,0.12,4.70a,0.15,0.07,0.001
