,0,1
0,Composition,Content
1,"Dry matter, %",91.1
2,"Proteins, g/100 g DM",26.8  0.1
3,"Fats, g/100 g DM",20.1  0.0
4,"Ashes,g/100 g DM",6.2  0.0
5,"Dietary fibres,g/100 g DM",35.0  0.9
6,soluble,5.8  0.3
7,insoluble,29.2  0.7
8,"Free sugars, mg/100 g DM",5510.3  72.8
9,Fru,3.7  0.7
10,Glu,54.0  2.7
11,Suc,5432.3  74.1
12,Ino,20.3  0.7
13,"Free acids, mg/100 g DM",174.9  5.8
14,PhA,20.9  0.8
15,free organic acids,154.0  5.4
16,SuA,5.9  0.2
17,MaA,118.0  4.6
18,CiA,30.1  0.9
19,"Free amino acids, mg/100 g DM",80.7  9.8
20,Val,3.7  0.4
21,Pro,6.6  0.8
22,Thr,5.9  0.5
23,GIA,64.5  8.6
24,"Glucosinolates, mg/100 g DM",771.3  27.8
25,PrN,36.4  2.6
26,GINFN,22.4  0.3
27,GINN,28.1  0.5
28,GIAN,28.1  0.5
29,4-OH-GIBN,458.0  14.6
30,GIBNN,77.6  3.6
31,GIBN,16.1  0.2
32,GINTN,18.1  0.7
33,"Phenolic compounds,mg/100 g DM",1168.9  3.3
34,phenolic acids,408.9  2.1
35,SiM,269.8  2.3
36,SiA,19.7  0.3
37,SiHex,8.6  0.1
38,SiGlu,64.2  0.6
39,SiA der 1,6.1  0.1
40,SiA der 2,4.6  0.1
41,diSiHexHex,6.5  0.1
42,diSiHex 1,6.5  0.1
43,diSiHex 2,19.3  0.2
44,diSiHex 3,0.8  0.0
45,SiA der 3,2.6  0.1
46,phenolic alkaloids,553.12.6
47,SiN,509.22.6
48,SiN der 1,6.50.0
49,SiN der 2,7.70.1
50,SiN der 3,6.70.0
51,SiN der 4,23.00.1
52,flavonols,206.90.8
53,KaSopGlu,42.00.5
54,KaSiSopGlu,96.60.6
55,KaSiHexHexHex 1,17.40.2
56,KaSiHexHexHex 2,42.40.2
57,KaSiHexHexHex 3,8.50.1
58,"Phytic acid, mg/100 g DM",3907.1105.7
