,0,1,2,3,4,5,6,7,8,9,10
0,Major fatty acids,Barley + soya beana,Barley + soya beana,Tallowb,,Barley +wheat +cornc,Barley +wheat +cornc,Standard feedd,,Accorne,
1,,x,SD,x,SE,x,SD,X,SD,x,SE
2,C 14:0,-,,1.37,0.05,1.55,0.32,1.33,0.20,1.32,0.1
3,C 16:0,23.86,0.4,24.15,0.01,25.10,0.86,23.2,1.46,24.68,0.90
4,C 18:0,10.16,0.15,3.63,0.27,12.62,0.44,12.2,1.11,11.23,0.73
5,C 18:1,3.0,2.2,3.63,0.16,2.79,0.36,2.71,0.45,3.51,0.33
6,C 18:1,39.06,2.2,46.22,0.79,36.47,2.85,32.8,3.91,47.81,1.12
7,C 20:1,,,8.95,0.02,0.47,0.06,,,0.88,0.09
8,C 18:2,17.15,2.02,8.95,0.42,16.49,2.87,14.2,4.09,4.02,0.92
9,C 20:2,,,0.44,0.06,0.49,0.08,0.42,0.11,0.22,0.92
10,C 18:3,0.91,0.27,0.26,0.09,1.14,0.28,0.95,0.33,0.22,0.06
11,C 20:3,0.21,0.02,0.25,0.01,0.30,0.06,0.34,0.09,-,
12,C 20:4,4.26,0.14,2.13,0.15,0.25,0.04,0.0009,0.022,-,
13,C 22:5,0.64,0.20,-,,-,,0.62,0.20,-,
14,C 22:6,0.75,0.48,,,-,,0.39,0.23,-,
15,Total SFA,34.02,,37.83,,39.42,,36.73,,37.47,
16,Total MUFA,42.06,,50.26,,39.74,,39.50,,56.52,
17,Total PUFA,23.92,,11.91,,20.84,,19.79,,4.24,
18,PUFA: SFA,0.70,,0.32,,0.53,,0.54,,0.11,
19,n-6:n-3,9.4,,45.3,,16.6,,1.54,,18.3,
