,0,1,2,3,4,5,6,7,8
0,Compounds,Avocado seed,Jackfruit seed oil,Papaya seed oil,Custard-,Pomegranate seed,Sweet cherry,Sour cherry seed,Pumpkin seed
1,,oil (Joshua,(Fernandes,(Samaram, apple seed oil,"oil (Drinic et al.,",seed oil (,oil (Yilmaz &,oil (Siano
2,,"et al., 2019)","et al., 2017)","et al., 2013","(Rana, 2015)",2020),"Siano et al.,","Gokmen,2013","et al., 2016"
3,,,,,,,2016),,
4,Undecanoic acid,n.d.,n.d.,n.d.,n.d.,n.d.,Trace,n.d.,n.d.
5,Lauric acid (C12:0),n.d.,n.d.,n.d.,n.d.,n.d.,0.1%,n.d.,n.d.
6,Tridecanoic acid,n.d.,n.d.,n.d.,n.d.,n.d.,Trace,n.d.,n.d.
7,Myristic acid (C14:0),n.d.,0.9%,0.2%,n.d.,n.d.,n.d.,n.d.,n.d.
8,Pentadecanoic acid,n.d.,1.0%,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
9,C15:0,,,,n.d.,,,,
10,cis-10-Pentadecenoic,n.d.,0.1%,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
11,C15:1n-5c,,,,,,,,
12,Palmitic acid (C16:0),11.6%,35.6%,14.9%,12.1%,2.4%,9.1%,6.2%,17.6%
13,Palmitoleic acid,5.9%,0.9%,0.3%,0.01%,n.d.,0.5%,n.d.,n. d.
14,C16:1,,,,,,,,
15,Margaric acid (C17,n.d.,1.0%,n. d.,0.2%,n.d.,Trace,n.d.,n. d.
16,Margaroleic acid,n.d.,0.4%,n. d.,n. d.,n.d.,n.d.,n.d.,n. d.
17,C17:1,,,,,,,,
18,Stearic acid (C18:0),0.1%,7.7%,5.2%,13.6%,2.4%,3.0%,1.3%,7.6%
19,Oleic acid (C18:1),67.8%,4.7%,74.2%,47.5%,6.2%,35.1%,46.8%,25.5%
20,Linoleic acid (C18:2),13.7%,34.1%,3.5%,23.0%,5.5%,41.5%,n.d.,47.5%
21,Linolenic acid (C18:3),0.1%,n.d.,0.2%,n.d.,n.d.,Trace,5.1%,0.7%
22,"cis-9,12,15-",n.d.,0.1%,n.d.,n.d.,n.d.,n. d.,n.d.,n.d.
23,Octadecatrienoic,,,,,,,,
24,acid (C18:3),,,,,,,,
25,Punicic acid (C18:3),n. d.,n.d.,n. d.,n. d.,36.06%,n.d.,n.d.,n. d.
26,Punicic acid isomers,n. d.,n.d.,n. d.,n.d.,43.94%,n.d.,n.d.,n. d.
27,C18:3,,,,,,,,
28,17-methyl-,n. d.,n.d.,n. d.,0.10%,n. d.,n.d.,n.d.,n. d.
29,octadecanoic acid,,,,,,,,
30,C19:0,,,,0.90%,,,,
31,Arachidic acid (C20:o),n.d.,3.2%,0.38%,0.90%,n.d.,Trace,n.d.,n.d.
32,Gadoleic acid (C20:1),n.d.,n.d.,0.42%,n. d.,n.d.,n.d.,n.d.,n.d.
33,Eicosapentaenoic acid,n.d.,n.d.,n.d.,n.d.,n.d.,2.87%,n.d.,n.d.
34,Heneicosanoic acid,n.d.,1.0%,n. d.,2.29%,n.d.,n.d.,n.d.,n.d.
35,C21:0,,,,,,,,
36,11-Eicosanoic acid,n.d.,n.d.,n. d.,0.20%,n.d.,n.d.,n.d.,n.d.
37,C21:1,,,,,,,,
38,Behenic acid (C22:0),n.d.,4.8%,n. d.,n.d.,n.d.,n. d.,n.d.,n. d.
39,Tricosanoic acid,n.d.,0.9%,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
40,C23:0,,,,,,,,
41,Lignoceric acid (C24:o),n.d.,2.8%,n. d.,n.d.,n. d.,n. d.,n.d.,n.d.
42,Nervonic acid C24,n.d.,n.d.,n.d.,n.d.,n.d.,3.97%,n.d.,n.d.
43,SFA1,11.7%,58.9%,20.7%,28.9%,5.4%,12.2%,7.6%,25.2%
44,MUFA2,13.8%,6.9%,74.9%,47.5%,6.8%,39.5%,46.8%,25.5%
45,PUFA3,73.7%,34.2%,3.7%,23.0%,87.9%,44.3%,45.6%,48.1%
46,USFA4,87.5%,41.1%,78.6%,70.4%,94.7%,83.8%,92.4%,73.7%
