,0,1,2,3,4,5,6
0,,Chlorophyll composition in digesta (%),Chlorophyll composition in digesta (%),,Chlorophyll composition in mixed micelles (%,Chlorophyll composition in mixed micelles (%,
1,Food,Pheophorbides,Chlorophylls,Pheophytins,Pheophorbides,Chlorophylls,Pheophytins
2,Guacamole,21.00a,9.00,71.00a,31.00a,7.00,59.00a
3,Virgin olive oil,0.00b,4.00,96.00b,-,-,98.00b
4,Tortellini,3.00b,2.00,96.00b,6.00,0.20,94.00b
5,Basil hummus,9.00b,0.00,91.00b,11.00,0.00,89.00
6,Spinach puree,1.00b,1.00,99.00b,2.00,-,98.00
7,Vegetable pasta,29.00a,1.00,70.00a,20.00a,2.00,78.00a
8,Pesto sauce,1.00b,0.00,99.00b,0.20,-,100.00
9,Green tea chocolate,0.10b,3.00,97.00b,0.10,3.00,96.00
10,Avocado juice,2.00b,8.00,90.00b,3.00,7.00,90.00
11,Kiwi juice,1.00b,0.00,99.00b,4.00,-,96.00
