,0,1,2,3,4,5,6,7,8,9
0,Commercial name,NO-N (mgkg-1fw),Pgkg-1dw,K(gkg-1dw),K(gkg-1dw),K(gkg-1dw),S(gkg-1dw),Cagkgdw,Mggkg-1dw),Nagkg-1dw
1,Coriander,2820  241 f,6.64  0.38 c,41.39,,1.78 d,2.10  0.09 hi,19.58  0.38 cd,6.19  0.18 cd,4.80  0.07 d
2,Cress,3106  667 ef,6.79  0.68 c,39.57,+,2.80 d,8.03  0.96 cd,19.11  2.17 d,5.72  0.77 cd,5.69  0.73 c
3,Green basil,4032  506 cd,5.90  0.47 d,50.46,,2.57 b,2.19  0.23 hi,23.23  1.64 c,6.04  0.58 cd,1.03  0.13 f
4,Jute,5164 111ab,8.53  0.10 a,47.92,0.91b,0.91b,3.03  0.23 g,17.43 1.09d,6.49  0.39 c,1.43  0.06f
5,Kohlrabi,5386  74.1 a,6.89  0.71 c,41.20  1.50 d,41.20  1.50 d,41.20  1.50 d,10.28  1.01 a,32.71  0.92 a,7.42  0.30 b,4.78  0.40 d
6,Komatsuna,3640  174 de,6.59 0.25 c,36.09  1.46 e,36.09  1.46 e,36.09  1.46 e,7.72  0.22 cd,27.32  0.37b,5.95  0.09 cd,7.22  0.39 b
7,Mibuna,2756  460 f,4.85  0.13 e,30.23  2.63 f,30.23  2.63 f,30.23  2.63 f,6.53  0.68 ef,28.465.77 b,5.66  0.29 d,6.91  2.58 b
8,Mustard,4488509 bc,5.93  0.48 d,44.42  1.04 c,44.42  1.04 c,44.42  1.04 c,5.82  0.25 f,29.85  2.06 ab,6.02  0.34 cd,7.010.19b
9,Pak choi,3855  37.0 cde,7.010.21 c,40.05 0.31 d,40.05 0.31 d,40.05 0.31 d,9.45  0.36 b,23.24  0.25 c,6.43  0.22 cd,5.861.37 c
10,Purple basil,2549  12.3 f,5.07  0.10 e,36.52  1.42 e,36.52  1.42 e,36.52  1.42 e,2.55  0.13 gh,20.08  2.17 cd,9.04  0.24 a,0.97  0.20 f
11,Radish,2569  72.3 f,7.82  0.23 b,26.21  0.37 g,26.21  0.37 g,26.21  0.37 g,8.18  0.18 c,20.031.18 cd,5.82  0.18 cd,2.75  0.09 e
12,Swiss chard,993  24.5 g,8.26  0.05 ab,68.70  0.46 a,68.70  0.46 a,68.70  0.46 a,1.640.02i,1.99  0.78 e,7.67  0.61 b,9.85  0.56 a
13,Tatsoi,3294  145 def,5.21  0.03 e,35.65  0.67 e,35.65  0.67 e,35.65  0.67 e,7.30 0.17 de,19.410.87 cd,6.14  0.58 cd,4.70  0.82 d
14,Significance,***,***,***,,,***,***,***,***
