,0,1,2,3,4,5,6,7,8,9
0,S/,Nigerian cooked foods,Phosphorus,Calcium,Magnesium,Potassium,Sodium (mg),Iron (mg),Zinc(mg),Copper
1,n,,(mg),(mg),(mg),(mg),,,,(mg)
2,,Dishes,,,,,,,,
3,1,Boiled rice and fish stew,4.88  0.24,43.57  0.94,15.10  0.51,113.89  3.58,248.66  7.97,3.49 ,0.49 ,0.20  0.02
4,,,,,,,,0.07,0.02,
5,2,Bread and beans,4.83  0.37,29.73  1.70,30.75  0.75,277.08  2.35,287.37  9.07,5.25 ,1.19 ,0.45  0.01
6,,,,,,,,1.46,0.05,
7,3,Boiled yam and garden egg,2.85  0.47,29.64  0.90,15.69  0.55,66.57  0.06,92.75  4.22,3.09 ,0.78 ,0.19  0.00
8,,sauce,,,,,,0.05,0.07,
9,4,Beans and corn,4.23  0.03,36.56  0.88,30.22  0.70,303.40  6.61,281.88  0.42,7.80 ,5.22 ,0.31  0.02
10,,,,,,,,0.38,0.03,
11,5,Ofada rice and stew,6.72  0.50,70.75  5.04,22.57  1.30,131.39  3.45,269.84  0.50,6.05 ,0.69 ,0.35  0.00
12,,,,,,,,0.23,0.03,
13,6,Akara and agidi,126.34  0.36,481.05  8.70,83.82  2.29,236.36  4.30,359.49  3.94,7.57 ,0.07,0.80  0.05
14,,,,,,,,1.59,0.07,
15,,Soups,,,,,315.80  1.19,,,
16,7, Banga soup,4.17  0.05,88.79  2.61,30.95  0.83,175.13  3.73,315.80  1.19,4.66 ,0.92 ,0.36  0.05
17,,,,,,,,0.15,0.04,
18,8,Okazi soup,60.87  0.82,568.55 ,142.75  2.31,449.60  14.78,"1,087.12 ",13.93 ,1.39 ,0.97  0.02
19,,,,17.10,,,11.82,0.44,0.02,
20,9, Miyan kuka,1.38  0.11,30.33  1.30,15.60  0.58,100.81  0.54,184.67  1.37,1.57 ,0.34 ,0.17  0.00
21,,,,,,,,0.07,0.03,
22,10,Miyan taushe,0.01  0.00,0.09  0.00,0.05  0.00,0.26  0.00,3.95  0.07,0.09 ,0.02 ,0.00  0.00
23,,,,,,,,0.01,0.00,
24,11,Groundnut soup,12.14  1.99,130.13  0.53,45.44  4.95,321.12  0.61,716.51  21.45,14.42 ,3.38 ,0.50  0.02
25,,,,,,,,0.98,0.20,
26,12,Afang soup,0.02  0.00,0.21  0.01,0.05  0.00,0.34  0.00,4.43  0.00,0.08 ,0.02 ,0.00  0.00
27,,,,,,,,0.00,0.00,
28,13,Oha soup,0.02  0.00,0.22  0.01,0.05  0.00,0.34  0.01,4.48  0.08,0.08 ,0.02 ,0.00  0.00
29,,,,,,,,0.00,0.00,
30,14,Ogbono soup,0.00  0.00,0.04  0.00,0.02  0.00,0.22  0.00,3.48  0.09,0.04 ,0.01 ,0.00  0.00
31,,,0.00  0.00,,,,,0.00,0.00,
32,15,Chicken stew,0.00  0.00,0.08  0.01,0.04  0.00,0.66  0.02,13.05  0.00,0.07 ,0.02 ,0.01  0.00
33,,,,,,,,0.00,0.00,
34,16,Beef stew,0.00  0.00,0.04  0.00,0.02  0.00,0.30  0.00,5.17  0.02,0.04 ,0.01 ,0.00  0.00
35,,,,,,,,0.00,0.00,
36,17,Fish stew,0.00  0.00,0.08  0.00,0.02  0.00,0.23  0.01,3.50  0.03,0.03 ,0.01,0.00  0.00
37,,,,,,,,0.00,0.00,
38,18, Ila alasepo,0.03  0.00,0.06  0.00,0.03  0.00,0.50  0.00,2.82  0.01,0.09 ,0.01 ,0.00  0.00
39,,,,,,,,0.00,0.00,
40,18,Egusi soup,0.04  0.00,0.33  0.00,0.09  0.00,0.33  0.00,5.32  0.00,0.11,0.01 ,0.00  0.00
41,,,,,,,,0.00,0.00,
42,20,Gbegiri soup,0.00  0.00,0.03  0.00,0.02  0.00,0.230.01,2.24  0.08,0.02 ,0.01 ,0.00  0.00
43,,,,,,,,0.00,0.00,
