,0,1,2,3,4,5,6,7,8
0,Compound,Ethanol 10%,Acetic acid 3%,Ethanol 50%,Ethanol 95%,Sunflower oil,Beans (mg/,Chicken soup,Whole milk
1,,(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),kg),(mg/kg),(mg/kg)
2,PA 6 monomer,0.28  0.02,0.37  0.10,0.61  0.13,0.73  0.21,3.2  0.3,0.32  0.02,0.15 0.01,0.42 0.01
3,PA 6 dimer,0.081  0.001,0.11  0.04,0.098  0.001,0.16  0.05,<0.062,0.062,0.082  0.013,<0.062
4,PA 6 trimer,0.160  0.001,0.19  0.03,0.230  0.003,0.31  0.03,<0.110,0.24  0.02,0.24  0.02,0.54  0.01
5,PA 6 tetramer,<0.082,<0.082,<0.082,0.28  0.07,<0.082,<0.082,<0.082,<0.082
6,PA 6 pentamer,<0.054,0.071  0.001,<0.054,0.08  0.02,<0.054,<0.054,1.2  0.3,<0.054
7,PA 6 hexamer,<0.110,<0.110,<0.110,0.16  0.03,<0.110,<0.110,<0.110,<0.110
8,PA 66,4.8  0.4,5.5  1.2,7.0  0.2,12  1,0.95  0.31,2.2  0.2,2.6  0.4,2.3  0.4
9,monomer,,,,,,,,
10,PA 66 dimer,0.74  0.03,0.78  0.18,0.87  0.02,1.1  0.1,0.42  0.02,0.31  0.01,0.11  0.01,0.32  0.02
11,PA 66 trimer,1.1  0.1,1.1  0.4,1.5  0.1,2.2  0.2,<0.120,<0.120,<0.120,<0.120
12,Sum of,7.2,8.1,10.3,16.9,4.6,3.1,4.4,3.6
13,oligomers,,,,,,,,
