,0,1
0,Plant species,Variety
1,Lettuce (Latuca sativa L.convar.sative var.capitata L.,Ljubljanska Ledenka
2,Corn salad(Valerianella locusta),Ljubljanski;Zlicar
3,White cabbage (Brassica oleracea L. spp.oleracea,Ljubljansko;
4,convar.capitata(L.)),Kranjsko okroglo
5,Bush bean (Phaseolus vulgaris L.ssp.vulgaris var,Cesnjevec
6,vulgaris),
7,Potato (Solanum tuberosum L.),KresnikCvetnik
8,Oilseed pumpkin (Cucurbita pepo L.var.oleifera sin,Slovenska golica
9,var.citrulinaL.Greb.var.styriaca,
10,Onion (Allium cepa L.var.cepa),Ptujska rdeca
11,Apple(Malus domestica Borkh.,Carjevic;Kanadska
12,,reneta
13,Sweet cherry (Prunus avium L.),Vipavka;Tercentka
14,Peach (Prunus persica L.),Veteran
15,Olive(Olea europaea L.,Istrska belica
16,Buckwheat(Fagopyrum esculentum(Moench,Cebelica
17,Millet (Panicum miliaceum L.),Soncek
18,Field mustard(Brassica rapa L.var.rapa,Kranjska
19,,podolgovata
20,Food products,
21,Bread from mixtures of flours with lower salt contents,
22,Buckwheat bread,
23,Rye bread,
24,Sauerkraut,
25,Pickled turnips,
