,0,1,2,3,4,5,6,7,8,9,10,11
0,Samples,Fortified conc.,Recovery (%),,"Precision (CV,%;","Precision (CV,%;",LOD (mg/,LOD (mg/,LOQ(mg/,LOQ(mg/,Linearity (R2),Linearity (R2)
1,,(ppm),,,"intra-, inter-)","intra-, inter-)",kg),,kg),,,
2,,,AD,B2),A,B,A,B,A,B,A,B
3,Ham,17.5,91.4  4.3,88.1 ,3.94.7,2.44.2,0.6,0.7,2.0,2.2,0.9999,0.9999
4,,,,3.5,,,,,,,,
5,,35,83.7  3.3,82.4 ,3.23.9,1.9-3.7,,,,,,
6,,,,4.0,,,,,,,,
7,,70,85.0  1.1,84.5 ,1.32.0,1.83.2,,,,,,
8,,,,3.1,,,,,,,,
9,Fish Sausage,12.5,107.6 ,96.6 ,2.04.1,1.5-3.4,,,,,,
10,,,2.4,2.7,,,,,,,,
11,,25,99.6  1.8,98.9 ,1.64.0,2.73.8,,,,,,
12,,,,3.2,,,,,,,,
13,,50,89.5  0.5,92.1 ,1.41.6,2.23.5,,,,,,
14,,,99.0  3.3,2.5,,,,,,,,
15,Salted code roe (Salted and fermented seafood,50,99.0  3.3,97.7 ,3.33.4,3.84.9,,,,,,
16,products),,,2.9,,,,,,,,
17,,100,93.5  4.1,91.4 ,4.1-4.9,2.24.4,,,,,,
18,,,,3.3,,,,,,,,
19,,200,92.8  4.9,91.2 ,3.95.1,2.84.7,,,,,,
20,,,,4.4,,,,,,,,
21,Cheese,12.5,97.5  1.7,95.0 ,1.72.3,2.63.0,,,,,,
22,,,,2.6,,,,,,,,
23,,25,90.8  2.5,88.9 ,2.72.8,1.1-4.2,,,,,,
24,,,,3.4,,,,,,,,
25,,50,91.61.4,89.8 ,1.52.3,1.83.2,,,,,,
26,,,,2.1,,,,,,,,
