,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,P.palmata,Initial,20,20,,,,4C,4C,,,-20,,,
1,FA [% of TFA],Storage [mo.],1,,3,,22,1,,3,22,1,3,,22
2,12:0,0.42  0.05,tr.,tr.,tr.,tr.,tr.,tr.,tr.,tr.,tr.,tr.,tr.,tr.,tr.
3,14:0,7.790.34,,8.89  0.33,10.50  0.49,10.50  0.49,16.70  0.16,,7.93  0.29,8.74  0.35,12.26  0.09,8.05  0.28,8.06  0.43,8.06  0.43,7.92  0.10
4,16:0,23.71  0.83,,25.46  1.23,26.56  0.89,26.56  0.89,46.55  0.44,25.69  0.57,25.69  0.57,23.24  1.33,33.870.30,22.96  1.13,22.99  1.16,22.99  1.16,22.59  0.22
5,18:0,0.640.56,,0.500.06,,0.92  0.13,1.59  0.05,,0.62  0.29,1.01  0.32,1.24  0.02,0.86  0.06,,0.77  0.07,0.76  0.06
6,Sum SFA,32.56  1.67,,34.85  1.21,37.99 0.49,37.99 0.49,64.84  0.27,34.24  1.01,34.24  1.01,33.001.30,47.37 0.35,31.871.30,31.83  1.06,31.83  1.06,31.27  0.15
7,16:1,0.92  0.27,,0.65  0.06,,1.38 0.16,1.760.34,,0.26  0.11,0.940.55,1.140.10,0.70  0.04,,0.79  0.52,0.78  0.07
8,18:1,2.76  0.41,,2.93  0.04,,3.100.04,4.61  0.17,,2.86  0.24,2.79  0.13,3.96  0.13,2.68  0.41,,2.69  0.16,2.64  0.07
9,Sum MUFA,3.68  0.43,,3.58  0.08,,4.48  0.12,6.37  0.42,,3.12  0.14,3.73  0.53,5.09  0.20,3.38  0.38,,3.48  0.37,3.42  0.07
10,18:2 n-6,1.890.19,,2.62  0.21,,2.170.03,2.47  0.71,,2.51 0.29,1.77  0.30,1.73  0.08,1.98  0.23,,1.98  0.27,1.94  0.11
11,18:3 n-6,2.35  0.17,,2.50  0.54,,2.61  0.24,2.23  0.04,,2.49  0.48,2.29  0.14,1.73  0.08,2.72  0.22,,2.73  0.12,2.68  0.14
12,18:4 n-3,3.31  0.97,,3.17  0.28,,3.51  0.16,2.17 0.02,,3.08  0.23,2.82  0.49,1.66  0.06,3.32  0.33,,3.33  0.41,3.27  0.17
13,20:2 n-3,1.47  0.48,,1.36  0.51,,1.04 1.80,2.78  0.12,,1.78  0.10,2.78  0.30,2.33  0.04,1.47  0.49,,1.47  0.61,1.45  0.08
14,20:3 n-6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
15,20:4 n-6,2.26  0.65,2.06  0.50,2.06  0.50,2.11  0.17,2.11  0.17,1.36  0.01,1.88  0.43,1.88  0.43,2.08  0.23,1.38  0.08,2.300.17,2.3  0.14,2.3  0.14,2.260.12
16,20:4n-3,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
17,20:5n-3,51.182.10,46.43  2.44,46.43  2.44,41.871.31,41.871.31,11.26  0.26,47.14  1.47,47.14  1.47,48.18  1.61,33.08  0.31,49.64  0.10,49.73  1.41,49.73  1.41,48.850.13
18,22:6 n-3,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
19,Sum PUFA,62.47  1.96,58.14  1.93,58.14  1.93,53.95  0.55,53.95  0.55,22.27  0.58,58.90  1.88,58.90  1.88,60.41  0.72,41.91  0.06,61.43  0.76,62.02  0.77,62.02  0.77,60.45  0.32
20,Sum n-3,54.49  3.04,49.60  2.38,49.60  2.38,45.911.46,45.911.46,13.42  0.26,50.23  1.60,50.23  1.60,51.49  1.23,34.74  0.25,52.96  0.32,53.53 1.11,53.53 1.11,52.11  0.08
21,Sum n-6,7.97  1.16,,8.53  0.72,,8.04  1.79,8.85  0.54,,8.67  0.28,8.92  0.70,7.17  0.20,8.47  0.50,,8.49  0.34,8.33  0.28
22,Ratio n-3/n-6,6.98  1.47,,5.85  0.74,,5.90  1.32,1.52  0.10,,5.79  0.02,5.80  0.56,4.85  0.17,6.27  0.34,,6.32  0.39,6.26  0.21
23,Other,1.30  0.18,,3.42  0.68,,3.58  0.71,6.52  0.32,,3.74  1.00,2.87  0.57,5.63  0.49,3.32  0.22,,2.68  0.64,4.87  0.16
24,Total FA,1.77  0.03,,1.710.07,,1.520.04,0.88  0.01,,1.73  0.02,1.69 0.06,1.15  0.02,1.83  0.02,,1.82  0.05,1.86 0.05
