,0,1,2,3,4,5,6,7,8
0,,Whole hemp seeds,,,,,,,
1,,'Bialobrzeskie','Carmagnola','Fedora 17','Felina 32',KC Dora','Kompolti','Santhica 27','Tiborszallasi'
2,Ferulic acid-hexoside,0.266  0.004d,0.39  0.01f,0.47  0.02b,0.33  0.01e,0.38  0.01d,0.48  0.02b,0.43  0.02c,0.54  0.02a
3,Syringic acid,nd,nd,nd,0.431  0.001b,nd,0.72  0.04a,0.68  0.05a,0.35  0.01c
4,TPA,0.266  0.004 ,0.39  0.01f,0.47  0.02e,0.76  0.02d,0.38  0.01f,1.20  0.06a,1.11  0.06b,0.890.03
5,,Dehulled hemp seeds,,,,,,,
6,,Brand 1 lot 1,Brand 1 lot 2,Brand 2 lot 1,Brand 2 lot 2,Brand 3 lot 1,Brand 3 lot 2,Brand 4 lot 1,Brand 4 lot 2
7,Ferulic acid-hexoside,0.58  0.03b,0.619  0.002a,0.41  0.03d,0.41  0.01d,0.371  0.002e,0.46  0.01c,0.46  0.02c,"0.39  0.02d,e"
8,Syringic acid,0.61  0.04a,0.63  0.01a,0.30  0.02e,"0.32  0.02d,e",0.29  0.01e,"0.35  0.02c,d",0.50  0.03b,0.37  0.03c
9,TPA,1.19  0.07a,1.25  0.02a,"0.71  0.05d,e","0.73  0.03d,e",0.66  0.01e,0.81  0.03c,0.96  0.04b,"0.77  0.04c,d"
