,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Polyphenol,Microgreens,,,,,,,,,,,,
1,gg-1dw,,,,,,,,,,,,,
2,,Coriander,Cress,Green basil,Jute,Kohlrabi,Komatsuna,Mibuna,Mustard,Pak choi,Purple basil,Radish,Swiss chard,Tatsoi
3,Quercetin-,n.d.,n.d.,n.d.,0.93  0.11 e,6.94  1.49 c,n.d.,n.d.,n.d.,30.894.17,0.300.01 e,4.60  0.58 d,n.d.,26.39  1.
4,sophoroside,,,,,,,,,a,,,,95b
5,Quercetin-3-O-,8.79  0.40 f,4.58  0.08 f,11.38  1.05,2.28  1.14 f,129.09  34.,137.43  7.9-,1136.80  2-,284.02  4.2,528.43  124,n.d.,n.d.,n.d.,654.32  6
6,(feruloyl)-,,,,,3e,1e,8.7 a,7 d,c,,,,3.8b
7,sophoroside-7-,,,,,,,,,,,,,
8,O-glucoside,,,,,,,,,,,,,
9,Quercetin-3-O-,n.d.,n.d.,n.d.,n.d.,135.66  9.4-,,n.d.,n.d.,76.56  27.3,,0.71  0.07 cn.d.,0.71  0.07 cn.d.,12.17  1.-
10,sophoroside-7-,,,,,8a,,,,b,,,,10c
11,O-glucoside,,,,,,,,,,,,,
12,Quercetin-,72.27  26.7,5.010.73 c,34.77  1.30,570.54167,0.910.03c,9.29  1.10 c,1.160.16c,6.35  0.92 c,4.96  1.35 c,198.50 13.,11.78  2.31,1.20  0.06 c,n.d.
13,malonyl-,,,c,a,,,,,,4b,c,,
14,glucoside,,,,,,,,,,,,,
15,Rosmarinic acid,,0.17  0.00 e 61.72  3.26,,1.07  0.00,3.24  0.25 c0.55  0.06 e0.31  0.01 e0.33  0.04 e,3.24  0.25 c0.55  0.06 e0.31  0.01 e0.33  0.04 e,,3.24  0.25 c0.55  0.06 e0.31  0.01 e0.33  0.04 e,1.850.14,43.57  0.33,2.75  0.10,1.35  0.03,1.89  0.09
16,,,,a,de,,,,,cde,b,cd,de,cde
17,Rutin,2392.23  2,18.321.54,19.46 0.36,1.27  0.06 e,n.d.,5.250.29 e,37.051.28,85.568.49,n.d.,19.02  1.76,n.d.,n.d.,n.d.
18,,3.6 a,,d,,,,c,b,,d,,,
19,Vitexin,n.d.,n.d.,n.d.,5.41  1.75 b,n.d.,n.d.,n.d.,n.d.,n.d.,196.62  13.,1.34  0.25 b,n.d.,n.d.
20,,,,,,,,,,,4a,,,
21,Total polyphenols,5920 171 a,1172 20 e,3506189 b,1888423 d,1862 162 d,1076 349,2586  281 c,860  106 efg,1023  229,1166  74 e,774  23 fg,691  60 g,2645  97
22,,,,,,,ef,,,efg,,,,C
