,0,1,2
0,Group,Composition,References
1,Phytochemicals,,
2,Ascorbic acid,87.44 mg/100 g DW,Uchoa-thomaz et al.(2014)
3,Soluble dietary fiber,0.039 g/100 g DW,
4,Insoluble dietary fiber,63.55g/100 g DW,
5,Vanillic acid,3.9 mg/100 g oil,Narvaez-Cuenca et al.(2020
6,4-Hydroxybenzaldehyde,0.2 mg/100 g oil,
7,Vanillin,9.6 mg/100 g oil,
8,Syringaldehyde,1.2 mg/100 g oil,
9,Coniferylaldehyde,1.5 mg/100 g oil,
10,Sinapaldehyde,0.3 mg/100 g oil,
11,Total amount of phenolics,16.7 mg/100 g oil,
12,Cinnamic acid,2.4 mg/100 g oil,
13,Cinnamaldehyde,9.4 mg/100 g oil,
14,Phytosterols,,
15,Campesterol,9.923.9 mg/100 g oil,Narvaez-Cuenca et al.2020;Piombo et al.2006
16,-sitosterol,437.61048.9 mg/100 g oil,da Silva &Jorge 2014);Narvaez-Cuenca et al.2020;Piombo et al.2006)
17,Stigmasterol,319.1 mg/100 g oil,Piombo et al.2006
18,Stigmastanol,26.6 mg/100 g oil,da Silva& Jorge (2014)
19,Tocopherols,,
20,-tocopherol,4.6-19.6 mg/100 g oil,da Silva & Jorge(2014);Malacrida & Jorge (2013);Narvaez-Cuenca et al.(2020);Piombo et al.(2006)
21,-tocopherol,0.3 mg/100 g oil,Piombo et al.2006)
22,-tocopherol,9.3 -82.6 mg/100 g oil,da Silva &Jorge2014);Malacrida& Jorge2013;Narvaez-Cuenca et al.2020;Piombo et al.2006
23,8-tocopherol,0.5 mg/100 g oil,Piombo et al.2006
24,Total Phenolic compounds,973.80 mg/100 g DW,El Anany (2015
25,Total Flavonoids,56.23-290.30 mg/100 g DW,Abd-El Haleem (2015); El Anany (2015)
26,Total carotenoids,1.25-223.12 mg/100 g DW,Abd-El Haleem (2015);Uchoa-thomaz et al.(2014)
27,Antinutritional factors,,
28,Phytic acid,70.35-137mg/100g DW,Abd-El Haleem 2016);Chang et al.(2014
29,Tannin,1.25 mg/g DW,Chang et al.2014
30,Saponin,0.905 mg/g DW,
31,a-Tocopherols,1.37 mg/100 g DW,Abd-El Haleem (2016)
32,Trypsin inhibitors,43.77 TIU/mg DW,
33,Haemagglutinin activity,406.88 unit/100 g DW,
34,Oxalate,6.93 mg/100 g DW,
