,0,1,2,3
0,Salads,Main courses,Side dishes,Desserts
1,Lettuce,Milled rice,Fried zucchini Milanese,Orange melon******
2,Watercress,Milled rice,Sauteed wild chicory,Strawberry
3,Eggplant w/pimento*,Milled rice,Baked bananas,Kiwi******
4,Beetroot**,Milled rice,French fries,Fruit salad
5,Broccoli***,Milled rice w/broccoli,French fries,Strawberry pie
6,Bean sprout***,Milled rice w/mushrooms,French fries,-
7,Carrot**,Milled rice w/vegetables,Potatoes au gratin,-
8,Chayote**,"""Carioca""beans",Sauteed collard greens,-
9,White bean***,"""Carioca"" beans",Macaroni w/Italian sausage,-
10,Chickpea***,"""Carioca"" beans",Meat roll,-
11,Mixed,"""Carioca""beans",-,-
12,Legumes/mayonnaise-1,Feijoada (meat stew w/black beans),,-
13,Legumes/mayonnaise-2,Feijoada (meat stew w/black beans),-,-
14,Legumes-1,Feijoada (meat stew w/black beans),,-
15,Heart of palm,Feijoada (meat stew w/black beans),-,-
16,Cucumber****,Feijoada (meat stew w/black beans),-,-
17,Radish****,"""Carioca""bean puree w/manioc flour",-,-
18,Arugula,Chicken/heart-of-palm pancake,-,-
19,Tomato*****,,,
20,Haricot bean/carrot***,,-,-
