,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Year,Species,Weekly,Temp,Temp,Cumulative,Cumulative,Irradiation,Weekly,Irradiation,Irradiation,Irradiation Irradiation,Irradiation Irradiation
1,,,mean,sum,sum,temp,irradiation,6 days,mean,sum 6 days,sum,sum,sum
2,,,temp,1 month,2 month,sum,sum,,irradiation,,7 days,1 month,2 months
3,2004 R.rubiginosa,2004 R.rubiginosa,0.848,0.930,-0.914,0.968,0.978,0.915,0.900,0.951,0.965,-0.945,0.942
4,,,(0.069),,,,,,,,,,
5,,R. dumalis,0.878,0.993,0.986,0.971,0.982,0.894,-0.910,0.974,0.969,-0.988,0.990
6,,R.dumalis,0.962,-0.905,-0.884,0.887,0.914,-0.990,-0.762,-0.866,0.878,0.889,0.892
7,,hybrid,,,,,,,(0.134,(0.058),,,
8,,R. spinosissima,,,,,,,,,,,
9,2005 R.rubiginosa,2005 R.rubiginosa,0.779,0.738,0.806,0.920,0.922,0.854,0.902,0.838,0.857,0.861,0.868
10,,R. dumalis,-0.810,-0.891,-0.921,0.977,0.973,0.967,-0.914,-0.881,0.889,0.963,-0.949
11,,R. dumalis,-0.816,0.962,-0.995,0.967,0.957,0.988,-0.911,0.868,0.890,-0.996,0.973
12,,hybrid,,,,,,,,,,,
13,,R. spinosissima,,,,,,,,,,,
14,2006 R.rubiginosa,2006 R.rubiginosa,-0.690,-0.856,-0.870,0.917,0.950,-0.718,-0.811,-0.797,-0.811,-0.856,-0.896
15,,R.dumalis,-0.836,0.924,-0.970,0.982,0.980,0.853,-0.941,0.931,-0.941,-0.945,0.977
16,,R.dumalis,-0.878,0.960,0.845,0.905,0.921,0.547,0.817,0.779,0.817,0.927,0.888
17,,hybrid,,,,,,(0.204),,,,,
18,,R. spinosissima,,,,,,,,,,,
