,0,1,2,3,4,5,6,7
0,,,,,,,,References
1,,,Sample,Voltage,Frequency,time,,
2,,,amount,Voltage,,time,,
3,Lamb's lettuce,Jet plasma,,30W,,0-120s, Phenols Flavonoids,"Grzegorzewski, Ehlbeck"
4,,,,,,,,et al.2011
5,Cherry tomato,DBD,107 g,60 kV,50 Hz,30300 s, pH+ColourWeight loss,Misra et al. (2014)
6,Corn starch,DBD,1 g in 10,"60,70,80 kV",50 Hz,1-5 min, Surface roughness Surface,Pankaj et al. 2015)
7,,,mL,,,,hydrophilicity,
8,Kiwi,DBD,,15 kV,,10-40 min, Carotenoids Antioxidants,Ramazzina et al. (2015)
9, Orange juice,DBD,20 mL,70 kV,50 Hz,560 s,Ascorbic acidTotal phenols,Almeida et al. (2015)
10,,DBD,,,,,FlavonoidsAntioxidants,
11,Apple,DBD,-,150W,12.7 kHz,"30,120",Total phenols Antioxidants,Ramazzina et al. (2016)
12,,,,,,min,,
13,Basmati rice,DBD,50 mg,30 and 40W,13.56 MHz,"5,10 min", Hydration properties Total,"Thirumdas, Deshmukh"
14,flour,,,,,,phenols Reducing power,et al.2016
15,Bayberries,PAW,3kg,,20 kHz,0.5-5 min,pH TSS,Ma et al.2016
16,Button,PAW,400g,18 kV,10 kHz,5-15 min,pHColourAntioxidants,Xu et al.2016
17,mushrooms,,,,,,Vitamin C,
18,Cherry tomato,DBD,80-100 g,100 kV,,150 s, pH+>TSS+Colour,Ziuzina et al. (2016)
19,Pomegranate,Jet plasma,"3,4,5cm3","4 W,2.5 kV",25 kHz,3-7 min, Phenols,Herceg et al.2016
20,juice,,,,,,,
21,Pomegranate,Jet plasma,"3,4,5 cm3","4W,2.5kV",25 kHz,3-7 min, AnthocyaninE,et al. (2016
22,juice,,,,,,,et al. (2016
23,Chokeberry,Jet plasma,"3, 4,7 cm3",4W,25 kHz,"3,5 min",hydroxycinnamic acidsFlavonols,"Bursac Kovacevic, Gajdos"
24,juice,,,,,,Anthocyanin,"Kljusuric, et al. (2016)"
25,Blueberries,DBD,,"60,80 kV",50 Hz,0-5 min,TSStAscorbic acidPhenols,Sarangapani et al. (2017)
26,,,,,,,Colour FlavonoidsAnthocyanin,
27,Cashew apple,,10 mL,,80 kHz,5-15 min,Vitamin C PhenolsFlavonoidst,Rodriguez et al. (2017)
28,juice,,,,,,Antioxidants,
29,Mandarin flesh,Microwave-,1.5 g,"400,650,900",2.45 GHz,2-10 min, Ascorbic acid Scavenging,Won et al.2017
30,,powered cold,,W,,,potentiale Colour,
31,,plasma,,,,,,
