,0,1,2,3,4,5,6,7
0,,,,HPLC run,,,,
1,Fraction,HPLC ret. time (min),Identity,1,2,3,Average,95% CI
2,1 (%),12.11  0.03,Gluconic acid,2.50,2.39,2.44,2.45,0.13
3,2a (%),15.85  0.02,Tetrasaccharide,0.728,0.731,0.748,0.735,0.01
4,2b (%),16.59  0.01,Trisaccharides,36.9,37.3,37.1,37.1,0.19
5,3 (%),18.120.01,Disaccharides,36.9,36.9,37.5,37.1,0.27
6,4 (%),20.85  0.02,Glucose,16.4,16.3,16.9,16.5,0.82
7,5 (%),22.02  0.02,Fructose,24.5,24.3,25.2,24.7,1.13
8,Salicylic acid (%),12.27  0.09,Salicylic acid,0.057,0.057,0.048,0.054,0.013
9,Water,,,,,,27.8,-
