,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Polyphenol,Microgreens,,,,,,,,,,,,,,,,
1,gg-1dw,,,,,,,,,,,,,,,,,
2,,Coriander,Coriander,Cress,Green basil,Jute,Kohlrabi,Kohlrabi,Komatsuna,Mibuna,Mustard,Pak choi,Purple basil,Purple basil,Radish,Radish,Swiss chard,Tatsoi
3,"1,2-disinapoyl-2-",n.d.,n.d.,n.d.,n.d.,n.d.,13.50  0.46,13.50  0.46,n.d.,n.d.,n.d.,14.701.34,n.d.,n.d.,4.65  0.05 d,,3.21 0.00 e,5.84 0.36
4,feruloylgentio,,,,,,b,b,,,,a,,,,,,c
5,biose,,,,,,,,,,,,,,,,,
6,Apigenin-7-O-,26.412.76,,12.16 0.32,1210.116-,n.d.,n.d.,n.d.,22.162.13,24.041.57,39.850.74,n.d.,50.023.43,,n.d.,n.d.,n.d.,n.d.
7,glucoside,bed,bed,cd,7.1a,,,,bed,bed,bc,,b,b,,,,
8,Caffeic acid,n.d.,n.d.,n.d.,148.259.0,3.560.05c,4.150.24c0.480.01 c0.460.16 cn.d.,,,4.150.24c0.480.01 c0.460.16 cn.d.,,5.16 0.22c,139.6813.,,5.00  0.12 c3.48  0.02 c 4.49  0.06,,5.00  0.12 c3.48  0.02 c 4.49  0.06,5.00  0.12 c3.48  0.02 c 4.49  0.06
9,,,,,4a,,,,,,,,4b,4b,,,,
10,Caffeic acid,16.02  0.93,,4.81 0.50f,0.16 0.01g,14.441.81,9.16  0.41 d,,,1.000.01g0.530.05g,0.240.02g,n.d.,12.71  0.43,,n.d.,n.d.,6.16  0.10 e n.d.,6.16  0.10 e n.d.
11,hexoside,,2,,,b,,,,,,,c,c,,,,
12,isomers,,,,,,,,,,,,,,,,,
13,Cirsiliol,n.d.,n.d.,n.d.,n.d.,n.d.,24.55  0.52,,n.d.,n.d.,n.d.,18.991.71,1.89 0.03 e,,15.030.58,,2.60  0.06 e9.28 0.37,2.60  0.06 e9.28 0.37
14,,,,,,,a,a,,,,b,,,,c,,d
