,0,1,2,3,4,5,6,7,8
0,Food category,Element,Max,Avg,St.dev.,P50,P75,P95,Percentage of consumers with exposure > 0 (%)
1,Snacks based on seaweed,Ni,1.38E-02,1.82E-04,7.38E-04,0,2.80E-05,8.73E-04,25-30
2,,As (total),3.93E-01,6.05E-03,2.47E-02,0,4.12E-04,2.91E-02,2530
3,,Cd,3.76E-02,2.42E-04,1.17E-03,0,1.65E-05,1.11E-03,2530
4,,Hg,7.97E-04,3.53E-06,2.39E-05,0,0,1.34E-05,510
5,,Pb,1.13E-02,8.83E-05,4.22E-04,0,1.23E-05,3.67E-04,25-30
6,,Ni,7.55E-01,2.07E-03,1.91E-02,0,0,4.36E-03,10-15
7,,As (total),6.70,2.52E-02,2.07E-01,0,0,5.65E-02,10-15
8,Dried seaweed herbs,Cs,1.31E-01,7.16E-04,5.93E-03,0,0,1.68E-03,10-15
9,,Hg,4.09E-03,1.81E-05,1.57E-04,0,0,4.16E-05,5-10
10,,Pb,1.01E-01,5.54E-04,4.55E-03,0,0,1.24E-03,10-15
11,Seaweed Pasta,Ni,2.44E-01,2.52E-03,1.49E-02,0,0,1.32E-02,5-10
12,,As (total),1.17,2.37E-02,1.20E-01,0,0,9.60E-02,5-10
13,,Cs,9.71E-03,1.96E-04,9.98E-04,0,0,7.96E-04,5-10
14,,Hg,2.53E-03,3.34E-05,2.19E-04,0,0,2.07E-04,5-10
15,,Pb,1.09E-02,2.21E-04,1.12E-03,0,0,8.95E-04,510
