,0,1,2,3,4
0,Plant,Latin name,Commodity,Origin/,Issue
1,,,showing,exporting,
2,,,issue,country,
3,Cumin,Cuminum,Cumin seed,Canada,Salmonella detected in
4,,cyminum L.,,,cumin powder
5,Cumin,Cuminum,Cumin seed,India,Profenofos (0.12 ppm)
6,,cyminum L.,,,detected in cumin
7,,,,,seed powder
8,Cumin,Cuminum,Cumin seed,India,Profenofos detected
9,,cyminum L.,,,(0.11 ppm in cumin
10,,,,,powder
11,Cumin,Cuminum,Cumin seed,Pakistan,Salmonella in cumin
12,,cyminum L.,,,powder
13,Cumin,Cuminum,Cumin seed,Syria,Salmonella in cumin
14,,cyminum L.,,,seed
15,Cumin,Cuminum,Cumin seed,Turkey,Bacillus cereus
16,,cyminum L.,,,"50,000 CFU/gin"
17,,,,,cumin from Turkey
18,Cumin,Cuminum,Cumin seed,Turkey,Salmonella spp.
19,,cyminum L.,,,presence/25gin
20,,,,,cumin from Turkey
21,,,,,via Germany
