,0,1,2,3,4,5,6,7
0,Compound,mg/kg,,,,,,
1,,UG extract,UG extract,BP*,PeP*,,,Pop*
2,Phenolic acid,,,,,,,
3,Caffeic acid,11.0  0.4,11.0  0.4,1.04  0.07c,1.55,1.55,0.14a,1.28  0.14b
4,Caftaric acid,704  33,704  33,48.7  1.2a,35.7,,6.5b,36.5  4.ob
5,Coumaric acid,19.6  0.6,19.6  0.6,1.80  0.13b,2.30,,0.12a,1.79  0.14b
6,Ferulic acid,34.3  1.1,34.3  1.1,2.31  0.17a,2.03,,0.18a b,1.81  0.15b
7,Ferulic acid,4.63  0.59,4.63  0.59,2.51,0.44,,0.03b,nd
8,Fertaric acid,2.0,2.0,3.44  0.10a,3.54,+,0.28a,3.71  0.19a
9,Gallic acid,0.03,0.03,0.03  0.01b,0.24,+,0.02a,0.05  0.01b
10,Flavonols,,,,,,,
11,Isorhamnetin,1.41,0.03,0.05  0.01b,0.09,+,0.01a,0.06  0.02b
12,Kaempferol,0.78,0.04,0.06  0.01a,0.06 ,0.06 ,0.01a,0.07  0.01a
13,Kaempferol-3-O-glucoside, 0.03, 0.03,0.39  0.03b,nd,,,nd
14,Myricetin.,3.79,0.11,0.39  0.03b,0.47,,0.04a,0.45  0.03ab
15,Quercetin,14.0,0.4,1.26,1.48,,0.13ab,1.57  0.14a
16,Quercetin-3-O-hexoside,+,0.08,nd,nd,,,nd
17,Flavan-3-ols,,,,,,,
18,(+)-Catechin,0.8,0.8,1.23  0.07c,2.28,,0.12a,1.51 0.11b
19,(-)-Epicatechin,8.23, 0.29,0.70  0.03,1.09,+,0.08a,0.83  0.05b
20,Procyanidins,,,,,,,
21,Procyanidin B1,4.55,0.19,0.44  0.04b,0.56,,0.04a,0.47  0.06ab
22,Procyanidin B2,9.74  0.37,9.74  0.37,1.130.05c,1.66,,0.05a,1.33  0.07b
23,Stilbenes,,,2.18  0.13b,,,,
24,Trans-resveratrol,31.3  1.6,31.3  1.6,2.18  0.13b,3.33,,0.48a,2.36  0.36b
25,2-S-Glutathionyl caftaric acid,16.8,0.6,nd,nd,,,nd
