,0,1,2,3,4,5
0,Extracts,Total phenolic content (mg,Reducing capacity (mg,EDTAE/100 g),FRAP (mg AAE/,DPPH(mg AAE/
1,,GAE/100 g),GAE/100 g),EDTAE/100 g),100 g),100 g)
2,El - Norway spruce galactoglucomannan,20889  99d,792  8f,ND,7446  293 h,9230  21c
3,E2 - Norway spruce galactoglucomannan,2310  105 8,142  3 8,ND,742  2i,341 7 h
4,(ethanol precipitation),,,,,
5,E3 - Birch glucuronoxylan,18743  41e,1239  4e,414 18,12590  149f,3377  189 8
6,E4 - Birch glucuronoxylan (ethanol,2250  15 g,614  6f,ND,1238  6i,3899  56f
7,precipitation),,,,,
8,E5 - Norway spruce phenolics (crude extract),45525  393c,5296  333d,1492  2b,23614  253d,9547  150d
9,E6 - Norway spruce phenolics (partial,50723  219b,6422  32b,1386  3d,40097  74b,1080332b
10,purification with XAD7HP),,,,,
11,E7 - Norway spruce phenolics (complete,45590  230c,5904  33c,1475  13c,33729  218c,10439  99b
12,purification with XAD7HP),,,,,
13,E8 - Scots pine phenolics (90 C/60 min),22187  218d,1312  5e,1348  3e,16695  588e,5235  78e
14,E9 - Scots pine phenolics (140 C/60 min),13332  134f,1249  3e,1294  2f,9488  374 8,3279  102 8
15,E10 - Industrial tannin QS-SOL,83746  2501a,6749  8a,2316  2a,81642  1015a,38565  518a
