,0,1,2,3,4,5,6,7,8
0,No,CompoundA,KI Calc.B,KI Lit.C,SE-SBP,SE-VOP,SFE-SBP,SFE-VOP,IDE
1,1,Nonane,900,900,1.33  0.06 a,2.80  0.24b,5.56  0.30c,11.09  0.50 d,"KI,MS,Co-i"
2,2,"2E,4E-Heptadienal",1014,1007,6.07  0.24b,,2.33  0.07 a,,"KI,MS"
3,3,Ethyl octanoate,1201,1197,0.04  0.00 a,,0.41  0.01b,,"KI,MS"
4,4,Dodecane,1200,1200,4.95  0.16b,7.100.09,1.18  0.15 a,1.160.11a,"KI,MS,Co-i"
5,5,"(2E,4Z)-Decadienal",1313,1303D,4.06  0.13b,,2.36  0.13 a,,"KI,MS"
6,6,"(2E,4E-Decadienal",1340,1327D,6.04  0.29b,,3.470.11a,,"KI,MS"
7,7,Tetradecane,1400,1400,3.84  0.16b,5.62  0.44c,1.34 0.08 a,3.68  0.22b,"KI,MS,Co-i"
8,8,Isoamyl benzoate,1462,1435,0.21  0.01 a,,1.27  0.11b,,"KI,MS"
9,9,Germacrene D,1506,1481,,,,0.810.00a,"KI,MS"
10,10,Hexadecane,1599,1600,2.15  0.03b,3.31  0.30 d,0.79 0.02 a,1.800.08b,"KI,MS,Co-i"
11,11,2-Phenyl ethyl octanoate,1871,1847,0.08 0.00a,,0.47  0.07b,,"KI,MS"
12,12,Ethyl hexadecanoate,1999,1993,0.07  0.00 a,,0.41 0.01b,,"KI,MS"
13,13,Linoleic acid,2151,2133,,0.10 0.00 a,,0.82  0.04b,"KI,MS"
14,14,1-Docosene,2188,2194D,0.23 0.01 a,0.43  0.02b,1.07 0.01c,2.36  0.09 d,"KI,MS"
15,16,Tricosane,2299,2300,0.970.10 a,,6.04  0.49b,,"KI,MS,Co-i"
16,18,Heptacosane,2667,2700,1.73  0.05b,0.80  0.06a,10.12  0.56d,5.99  0.08c,"KI,MS,Co-i"
17,19,Squalene,2827,2836D,0.67  0.02a,1.31  0.13b,4.24  0.21c,5.41 0.29d,"KI,MS,Co-i"
18,20,Nonacosane,2899,2900,2.73  0.10b,1.40 0.11a,16.93  0.78d,10.16  0.28c,"KI,MS,Co-i"
19,21,-Tocopherol,3092,3075D,0.66  0.02b,0.28  0.01a,1.44  0.10c,2.62  0.07d,"KI,MS"
20,22,Untriacontane,3101,3100,,,,2.86  0.23a,"KI,MS,Co-i"
