,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,MAIZE (Zea mays L.),,,,,,CASSAVA (Manihot esculenta Crantz),CASSAVA (Manihot esculenta Crantz),,,MATOOKE (Musa acuminata Colla),MATOOKE (Musa acuminata Colla),,
1,,Databases,,"Kapchorwa, Uganda","Kapchorwa, Uganda","Teso South, Kenya","Teso South, Kenya",Databases,,"Teso South, Kenya","Teso South, Kenya",Databases,,"Kapchorwa,",
2,,,,,,,,,,,,,,Uganda,
3,,Grain mean,Leaf adequate,Grain (n,Leafn=,Grain,Leaf n=,Tuber mean,Leaf adequate,Tuber,Leaf (n,Fruit mean,Leaf adequate,Fruit,Leaf (n
4,,nutrient,range nutrient,=31,25,n=,65,nutrient,range nutrient,n=,=30,nutrient,range nutrient,n=,=53
5,,concentrations,concentrations,,,30,,concentrations,concentrations,27,,concentrations,concentrations,52,
6,,"(mg/kg1,2","(mg/kg)3.4,5",,,,,"(mg/kg1,2",(mg/kg)3,,,(mg/kg)1,(mg/kg)3,,
7,Mg,USDA:1279,1500-3500,1071*,1422*,861,1291 ,USDA:210,2500-5000,362 ,1994 ,-,2000-4600,1017,2715 
8,,,,522,230,404,499,,,115,404,,,336,493
9,,Kenya: 750,,,,,,Kenya: 130,,,,,,,
10,P,USDA:2100,2200-4000,3482*,1983***,2967,1684,USDA:270,3600-5000,862 ,2433 ,,2000-2500,1510,2373 
11,,,,714, 96.2,?,645,,,289,565,,,329,240
12,,,,,,1290,,,,,,,,,
13,,Kenya: 3670,,,,,,Kenya:210,,,,,,,
14,S,,1000-2400,1030*,1327***,861,1029 ,,3000-4000,106,2627 ,,2300-2700,462 ,2138
15,,,,419,160,136,222,,,81.9,545,,,385,170
16,K,USDA:2870,13700-50000,8152**,16307*,4990,15767 ,USDA:2710,"12,000-20,000",8370,13726,,"30,000-40,000",24499,28989
17,,,,7540,2611,?,3916,,, 2640, 3228,,,3254,2181
18,,,,,,1120,,,,,,,,,
19,,Kenya: 2260,,,,,,Kenya: 2500,,327 ,,,,,
20,Ca,USDA:70,2100-5000,242** ,4018,46.2,4373**,USDA:160,6000-15000,327 ,8614 ,,"8000-12,000",433,8375 
21,,,,329,442, 13.6,1263,,,214,2618,,,369,1125
22,,Kenya: 240,,,,,,Kenya: 330,,,,,,89.3 ,
23,Fe,USDA:27,21-251,122***,83.6 ,36.4,106***,USDA:27,60-200,52.2 ,5141,USDA:160,70-200,89.3 ,104
24,,,,141,76.3,14.3,33.5,,,13.7,,,,61.1,86
25,Cu,Kenya:26,,,,,,Kenya: 9,,,,,,,
26,Cu,,6-20,55.2***,4.34 ,3.47,4.40 ,,7-15,3.23 ,4.9 ,,720,20.9 ,5.22 
27,,,, 66.8,0.98,0.41,1.63,,,0.53,1.21,,,9.9,1.01
28,Zn,USDA:22,2070,49.3***,18.1**,31.9,15.9 ,USDA:3.4,40-100,9.40 ,5116,USDA:20,2135,36.2 ,5.97 
29,,,, 26.7,2.77, 7.96,10.3,,,2.85,,,,28.2,1.56
30,,Kenya:18,,,,,,Kenya: 3.4,,,,,,,
31,Mn,,20-150,16.3***,72.7 ,3.44,106***,,50250,7.86 ,247 ,,100-2200,20.1 ,623 
32,,,,16.5,9.15, 1.28,33.5,,,2.41,85,,,12.3,145
