,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Food,Portion(g),Energy,Protein,CHO,Total Fat,MUFA,PUFA,Cholesterol,SFA,Total Sugars,Dietary,Water
1,,,(kcal),(g),(g),(g),(g),(g),(mg),(g),(g),fibrea (g),(g)
2,Preschool children (n = 80),Preschool children (n = 80),,,,,,,,,,,
3,Chapatti,44 (7-110)b,89,3.2,19.2,0.4,0,0.2,0,0,0.7,NA,20.2
4,Chicken curry,44 (15120),79,7,1.3,5.1,1.5,2.1,29,1.1,0.6,0.5,29.8
5,Channa dhal,45 (1590),65,1.1,9.9,1.5,0.7,0.6,2,0.2,0.6,2.2,35.0
6,Mixed vegetables,45 (1590),85,6.4,4.5,5.4,1,0.9,1,0.3,1.5,1,33.5
7, Lamb balti,49 (3090),85,6.4,2.7,5.4,0.1,2.3,22,1.1,0.7,0.9,33.5
8,White rice,38 (20-80),52,1,0.1,0.5,0.1,0.2,0,0.1,Tr,0,25.8
9,Ghee,5 (1.210),44,0,0.1,4.9,1.3,0.2,12,2.9,NA,NA,0
10,Tarka dhal,50 (20110),70,2.7,11.1,1.7,0.4,0.8,4,0.3,0.4,1,33.8
11,School children (n = 111),,,,,,,,,,,,
12,Chicken curry,64 (14-165),129,4.7,28,0.6,0.1,0.3,0,0.1,1,NA,29.3
13,Chicken curry,108 (50-250),172,5.9,21.5,3.3,3.3,4.5,62,2.4,1.3,1.2,65.1
14,Channa dhal,108 (50-250),140,5.9,21.5,3.3,1.5,1.3,4,0.3,1.2,4.8,75.7
15,Mixed vegetables,96 (20400),154,11.6,9.6,9.8,2.2,1.8,2,0.7,3.3,2.1,77.1
16,Lamb balti,89 (50-150),154,11.6,5,9.8,2.9,4.1,39,2,1.3,1.6,60.9
17,White rice,121 (70-210),391,9.8,38.6,17.4,4.2,1.2,41,10.3,1.5,4.8,85.0
18,White rice,125 (50-300),172,3.2,0.1,1.6,0.4,0.6,0,0.4,Tr,0.1,85.0
19,Ghee,7 (5-10),62,0,0.1,6.8,1.8,0.3,17,4.1,NA,NA,0
20,Adults (n=100),,,,,,,,,,,,
21,Chapatti,90(65-150),182,6.6,39.3,0.9,0.1,0.4,0,0.1,1.4,NA,41.2
22,Chicken curry,200 (130-375),260,25,4.7,17.9,5.3,7.3,101,3.9,2.2,1.9,140.2
23,Channa dhal,200 (130-375),260,11,39.8,6.2,2.8,6.8,8,0.6,2.2,8.8,140.2
24,Mixed vegetables,356 (200-400),352,8.5,35.6,18.9,8.2,6.8,7.8,2.5,12.1,7.8,285.9
25,Lamb balti,100 (80-150),270,20.3,8.7,17.2,5.1,7.2,69.1,3.6,2.3,2.8,106.7
26,Paratha,100 (80-150),323,8.1,43.3,14.4,3.5,1,34,8.5,1.2,4,32.3
