,0,1,2,3,4,5,6,7,8
0,Interfering,,,cd,,,,Pb,
1,ions,Tolerance,Tolerance,,%Recovery ,Tolerance,Tolerance,,%Recovery 
2,,ratio,,SD,SD,ratio,,,SD
3,K+,,100,,110.000.00,,50,,80.00  0.00
4,Na+,,100,,111.671.53,,50,,102.33  3.51
5,Ca2+,,50,,103.33  1.53,,100,,97.00  2.80
6,Fe3+,,50,,98.33  4.73,,50,,88.50  2.10
7,Cu2+,,50,,93.70  4.50,,50,,91.67  2.89
8,Hg2+,,100,,117.00 1.41,,50,,87.00  1.70
9,Co2+,,50,,92.67  3.06,,50,,88.50  2.10
10,Sn2+,,50,,110.000.00,,50,,90.00  0.00
11,NO3,,100,,118.000.00,,100,,90.30  2.90
12,PO43,,50,,83.50  0.00,,50,,105.30 5.10
13,PO43,,500,,99.00  0.00,,500,,83.00  1.40
14,CI,,500,,97.00  1.00,,500,,92.70  4.00
