,0,1,2,3,4,5,6,7,8,9,10,11
0,,,,Paper Plate A,,Paper Plate B,,Paper Plate C,,Muffin,Muffin,Muffin
1,,,,,,,,,,Cup A,Cup B,Cup C
2,,,,Oatmeal,Tomato,Oatmeal,Tomato,Oatmeal,Tomato,Muffin,Muffin,Muffin
3,,,,Porridge,Soup,Porridge,Soup,Porridge,Soup,,,
4,Total PFAS,,Total 2 (PFAS) (ng/g,6.13,3.50,4.70,3.54,6.48,14.1,2.83,5.01,6.00
5,,,food],,,,,,,,,
6,,Adult,Dietary exposure per,14.3,10.4,11.0,10.5,15.1,41.9,1.75,3.10,3.65
7,,,serving [ng/kgbw/,,,,,,,,,
8,,,day],,,,,,,,,
9,,Child,Dietary exposure per,43.4,31.5,33.3,31.8,45.9,127,5.30,9.38,11.1
10,,,serving (ng/kgbw/,,,,,,,,,
11,,,day],,,,,,,0.06,,0.06
12,Sum of,,(PFOA/PFNA)[ng/g,0.03,0.00,0.03,0.04,0.00,0.05,0.06,0.17,0.06
13,PFOA/,,food],,,,,,,,,
14,PFNA,Adult,Dietary exposure per,0.06,0.00,0.06,0.12,0.00,0.15,0.03,0.11,0.04
15,,,serving [ng/kgbw/,,,,0.12,,0.15,,0.11,
16,,Child,Dietary exposure per,0.18,0.00,0.18,0.36,0.00,0.45,0.10,0.32,0.11
17,,,serving [ng/kgbw/,,0.00,,,,,,,
18,,,day],,,,,,,,,
19,RPF,, (PFOA equivalent),0.20,0.22,0.15,0.29,0.15,0.63,0.66,2.17,0.75
20,Approach,,[ng/g food],0.46,,,,0.36,,0.41,,0.46
21,,Adult,Dietary exposure per,0.46,0.66,0.35,0.87,0.36,1.87,0.41,1.34,0.46
22,,,serving [ng/kgbw/,,,,,,,,,
23,,Child,day],,,1.06,2.63,,,,,1.38
24,,Child,Dietary exposure per,1.39,1.99,1.06,2.63,1.09,5.67,1.24,4.07,1.38
25,,,serving [ng/kgbw/,,,,,,,,,
26,,,day],,,,,,,,,
