,0,1,2,3,4
0,Food,Species,Compounds,Production system,References
1,Blueberry,"Vaccinium corymbosum, cv.","total anthocyanins, total phenols, chlorogenic",Organic,"Wang et al., 20080chmian, Btaszak,"
2,,"BluecropVaccinium corymbosum L., cv.","acid, myricetin 3-arabinoside, quercetin 3-",ConventionalNo,"Lachowicz,& Piwowarczyk,2020You"
3,,Brigitta Blue Vaccinium virgatum,"glucoside,delphinidin 3-galactoside,delphinidin",effects,et al.2011
4,,,"3-glucoside,cyanidin 3-galactoside,delphinidin",,
5,,,"3-arabinoside,petunidin 3-galactoside,",,
6,,,"petunidin 3-glucoside, malvidin 3-glucoside,",,
7,,,"malvidin 3-arabinosideTotal flavonols,Total",,
8,,,"anthocyanins, Total polyphenolsTotal",,
9,,,"anthocyanins, Total quercetin",,
10,Grapes,"Vitis viniferaVitis vinifera, cv. Monastrell","Total polyphenols contentTotal anthocyanins,",OrganicNo effects,"Bunea et al.,2012Mulero,Pardo,&"
11,,,"hydroxycinnamic acids,flavonols,Total phenolic",,"Zafrilla,2010"
12,,,"compounds, all in full ripe grapes",,
13,Kiwifruits,"Actinidia deliciosa, cv. Hayward",Total phenolics,Organic,"Amodio et al., 2007"
14,Corn,"Zea mays, cv. Supersweet Golden Jubilee",Total phenolics,Organic,"Asami, Homg, Barrett, & Mitchell, 2003"
15,Blackberries,"RubusMarion""Rubus fruticosus,cv.Loch",Total phenolicsTotal phenolic compounds,OrganicNo effects,"Asami,Homg,Barrett,& Mitchell,2003"
16,,"Ness, Chester Thornless",,,"Pinto et al., 2018"
17,Strawberry,"Fragaria vesca L., cv. FestivalFragaria ","Total phenolicsTotal anthocyanins, quercetin,",OrganicNo effects,"Khalil & Hassan, 2015Reganold et al.,"
18,,"ananassa Duch., cv. Diamante, San Juan,","kaempferol glycoside,total kaempferol,ellagi",,2010
19,,Lanai,"acid glycoside,ellagic acid,total ellagic acid",,
20,,,"phloridzin glycoside, phloretin, total phloretin,",,
21,,,"R-naringin glycoside, S-naringin glycoside, R-",,
22,,,"naringenin, S-naringenin, total R-naringenin,",,
23,,,total S-naringenin,,
24,Lemons,Citrus meyeri Tan.,"Hesperidin, didymin",Organic,"Uckoo, Jayaprakasha, & Patil, 2015"
25,Peaches,"Prunus persica L., cv. Regina bianca","Chlorogenic acid, Total polyphenols",Organic,"Carbonaro, Mattera, Nicoli, Bergamo, &"
26,,,,,"Cappelloni,2002"
27,Pears,"Pyrus communis L., cv. Williams","Caffeic acid, chlorogenic acid, Total polyphenols",Organic,"Carbonaro, Mattera, Nicoli, Bergamo, &"
28,,,,,"Cappelloni,2002"
29,Plums,"Prunus salicina Lindl.Prunus domestica L.,","Total anthocyanins, Total phenolicsTotal",Organict,"Cuevas et al.,2015Lombardi-Boccia"
30,,cv.Shiro,polyphenols,Conventional,"Lucarini, Lanzi, Aguzzi,  Cappelloni,"
31,,,,,2004
32,Oranges,"Citrus sinensis, cv.TaroccoCitrus sinensis","Total phenolics, Total anthocyaninsTotal",Organict,"Tarozzi et al,2006Khalil& Hassan,2015"
33,,"L., cv. Washington navel",phenols,Conventional,
34,Red currants,"Rubus rubrum L.,cv.Rondom","Total polyphenols, Total phenolic acids,",Organic,"Wojdylo, Oszmianski, Milczarek, &"
