,0,1,2,3,4,5,6
0,Biometric parameter,Control,PF,RB,PS,CM,SB
1,Survival (%),,,,,,
2,Day 30,99.3  0.0a,99.3  0.3a,91.9  5.0b,91.5  0.4b,94.3  1.6ab,94.5  2.7ab
3,Day 40,97.3  0.9a,98.4  0.3a,86.2  6.7ab,82.9  1.2b,86.4  5.4ab,90.9  2.8ab
4,Day 50,96.6  0.8a,97.7  0.6a,82.3  5.2ab,58.1 7.6b,70.3  28.3ab,83.2  6.6ab
5,Live weight (g),,,,,,
6,Day 30,2.2  0.3c,3.2  0.1a,2.8  0.4b,3.0  0.4a,2.6  0.5b,2.0  0.2c
7,Day 40,3.1  1.2 cd,4.1  0.6ab,4.3  0.9a,4.3  0.8a,3.6  0.9bc,2.8  0.6d
8,Day 50,4.4  0.4b,4.4  0.6b,5.5  0.7a,4.4  0.8b,3.9  0.4c,3.0  0.3d
9,Dry weight (g)*,1.4  0.2b,1.4  0.2b,1.6  0.2ab,1.6  0.3a,1.4  0.3b,0.8  0.2c
10,Dry matter content (%,32.0  1.3c,31.9  1.4c,28.2  1.3d,37.4  2.0b,40.1  3.5a,27.8  2.9d
11,Condition factor*,6.3  1.5b,7.8  1.8a,6.4  1.1b,9.1  2.0a,8.9  2.4a,9.1  3.3a
12,Growth rate (g/day)*,0.09  0.00b,0.07  0.02 cd,0.12  0.03a,0.08  0.04bc,0.07  0.07 cd,0.06  0.05d
13,Appearance*,,,,,,
