,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,,,,,,,,,,Effects,,
1,,,,,,,,,,,,of,Effects,Effects
2,,,,,,,,,,,,beta-,of,of
3,,,,,,,,,,,,alanine,beta-,beta-
4,,,,,Sample size,,,,,,,on,alanine,alanine
5,,,Study,,(intervention/,,Body analyzer,Mean,Mean,Beta-alanine,,body,on,on
6,Study,Participants,design,Exercise intervention,control),Duration,method,age,BFP,group,Control group,mass*,BFP*,FFM*
7,Kern et al.,Collegiate,RA/DB/,CT. wrestlers participated in 4-5,15 (7/8),8 wk,Skinfold,18.6,9.67,4 g/d beta-,4 g/d placebo,,,
8,2011,wrestlers,PC,d/week practice sessions (HIIT),,,thickness,,,alanine,(in,,,
9,,and,(Parallel),and 3 d/weeks RT.Football,,,measurement,,,,powdered,,,
10,,football,,players practiced 3 d/week,,,,,,,capsule),,,
11,,players,,and participated in RT sessions,2210/12),8 wk,Skinfold,19.9,7.8,4 g/d beta-,4 g/d placebo,,,H
12,,,,4 d/week.,,,thickness,,,alanine,(in,,,
13,,,,,,,measurement,,,,powdered,,,
14,,,,,,,,,,,capsule),,,
15,Walter et al.,Recreationally,RA/DB/,ET.High intensity interval,33 (14/19),3 wk,Bod Pod,21.6,30,6 g/d beta-,66 g dextrose,,,
16,2010,active,PC,training on 3 nonconsecutive,,,,,,alanine +,,,,
17,,female,(Parallel),days per week.,,,,,,60 g,,,,
18,,,,,,,,,14.9,dextrose,,,,
19,Smith et al.,Recreationally,RA/DB/,ET. High-intensity interval,36 (18/18),3 wk,Bod Pod,22.2,14.9,6 g/d beta-,66 g dextrose,,,1
20,2009,active male,PC,training which first three-week,,,,,,alanine+,,,,
21,,,(Parallel),period of training was,,,,,,60 g,,,,
22,,,,completed at workloads,,,,,,dextrose,,,,
23,,,,between 90%-110% of each,,,,,,,,,,
24,,,,"individual's V02peak, while",,,,,,,,,,
25,,,,the second three-week,,,,,,,,,,
26,,,,training peaked at 115%,,,,,,,,,,
27,Kendrick,Physical,DB/PC,RT.4 days/week for 10 weeks,26 (13/13),10wk,Skinfold,21.5,10.1,6.4 g/d beta-,6.4 g/d,,1,ND
28,et al.,education,(Parallel),Two sessions per week were,,,thickness,,,alanine,maltodextrin,,,
29,2008,male,,"upper body dominant, and",,,measurement,,,,,,,
30,,student,,two were lower body,,,,,,,,,,
31,,,,dominant,,,,,,,,,,
32,Hoffman,Resistance-,DB/PC,RT. The program consisted of 9,8 (8/8),4 wk,ND,19.7,15.7,4.8 g/d beta-,4.8 g/d placebo,,ND,ND
33,et al.,trained,(cross-,"exercises,8-10 of 1-RM with",,,,,,alanine,,,,
34,2008,male,over),"1.5-2 min of rest between sets,",,,,,,,,,,
35,,,,4 sessions/week.,,,,,,,,,,
