,0,1,2,3,4,5
0,Cohort,Sample,Weightb (%),Relative risk(95% Cl,Weightb(%),Relative risk (95% CI)
1,,size(n),,,,Adjusted for adiposity
2,EPIC-InterAct,"11,684",9.9,1.21(1.12-1.31),8.8,1.13 (1.05-1.22)
3,ARIC,"1,437",10.5,1.01(0.96-1.06),9.4,1.01(0.96-1.06)
4,Black WHS,"2,550",10.5,1.10(1.05-1.16),8.3,1.06(0.97-1.16)
5,NHSII,"5,121",10.4,1.17(1.11-1.24),9.0,1.11(1.04-1.19)
6,KIHD,506,9.1,1.06(0.95-1.18),7.8,1.05(0.95-1.17)
7,NHSI,"7,300",10.2,1.39(1.30-1.48),8.8,1.23(1.141.32)
8,CARDIA,174,NA,NA,7.9,1.03 (0.93-1.14)
9,HPFS,"3,229",9.5,1.31(1.20-1.44),8.0,1.22(1.10-1.35)
10,FOS,303,6.0,1.12(0.90-1.40),4.7,1.12(0.90-1.39)
11,lowa WHS,999,NA,NA,6.2,1.49 (1.271.75)
12,MESA,413,NA,NA,3.0,0.86 (0.63-1.18)
13,"Occupation cohort,Japan",170,6.3,1.08 (0.88-1.33),4.9,1.07(0.87-1.32)
14,SCHS,"2,250",4.4,2.22(1.64-3.00),3.2,1.95 (1.44-2.65)
15,HIPOP-OHP,212,7.3,0.89 (0.75-1.06),5.8,0.89 (0.75-1.06)
16,E3N,"1,054",0.5,2.82 (0.87-9.17),0.3,2.70 (0.82-8.82)
17,JPHC,676,5.6,1.25 (0.99-1.58),3.8,1.15(0.88-1.50)
18,FMCHES,175,NA,NA,0.1,15.0d
19,Overall figures,"38,253",100,1.18(1.09-1.28);,100,1.13(1.06-1.21);
20,,,,2=89.0c,,2=79.8
