,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,,Effect,,,Poultry Feed (PF),Poultry Feed (PF),Poultry Feed (PF),,,Food Waste (FW),Food Waste (FW),Food Waste (FW),Food Waste (FW),,,Poultry Manure (PM),Poultry Manure (PM),Poultry Manure (PM),Poultry Manure (PM),
1,Amino Acid,,,,,,,BSFL,,,,,BSFL,,,,,,BSFL,,
2,(g/100 g protein),DF=3,Diet,S x D,,Strain,S2,Strain,Strain,,Strain,S2,Strain,Strain,Strain,,Strain,Strain,Strain,Strain,Strain
3,,DF=3,(DF =2),DF=6,,S1,S2,S3,S4,,S1,S2,,S3,S4,,S1,S2,,S3,S4
4,Essential,,,,,,,,,,,,,,,,,3.14,,,3.10
5,His 1,13.72 ***,321.47***,4.51 ***,2.61,3.37,3.45,3.53,aJ,2.62,gA,3.46,,,3.57,2.09,2.9,3.14,,"3,03",3.10
6,Ile1,0.72,1.92,0.74,4.10,4.57,4.53,4.57,JK,4.18,4.52,4.50,,4.58,4.47 K,4.68,4.57,4.55,,4.58,4.74 J
7,Leul,12.80 ***,3.40*,1,9.21,aB,7.54 b,ab,abJ,7.46,eA,7.63 f,7.64 f,7.64 f,fJK,8.10,iB,7.58 j,7.56 ij,7.56 ij,jK
8,Lys,32.95 ***,174.45 ***,6.68 ***,5.06,bB,aE,aH,bK,4.28,fB,eE,,fI,fK,5.83,jA,iD,,jG,7.47iJ
9,Lys,32.95 ***,174.45 ***,(4),5.06,2.05,aE,2.11,2.13,4.28,fB,2.15,,1.95,fK,5.83,jA,2.04,,jG,7.47iJ
10,Metl,3.53*,13.19 ***,18.19 ***,2.39,bB,aD,2.11,ab,2.27,ZeA,2.15,,gH,2.10 f,1.85,1.95,jk E,,ijG,2.15 i
11,Metl,3.53*,13.19 ***,11,2.39,bB,aD,2.11,ab,2.27,ZeA,2.15,,gH,2.10 f,1.85,1.95,jk E,,ijG,2.15 i
12,Phel,42.64 ***,68.75 ***,(5),5.45,bA,aD,bG,bJ,5.31,ef A,eE,,4:72,gK,4.44,jB,477,,4.84,4.86 iJ
13,Thrl,58.51 ***,33.09 ***,(4),3.73,4.08 B,4.07 D,4.06 H,4.06 K,3.59,4.30 A,4.19 D,4.19 D,4.20 G,4.18,5.21,jB,3.97,,ijGH,4.26 iJ
14,Val1,8.36 ***,15.30 ***,(3),4.78,6.22 c,6.47,aG,aJ,4.99,6.45 ef,E,,64,6.55,6.28,6.21,6.46 D,6.27 H,6.27 H,6.36 K
15,Non-essential,,,,,,,,,,,,,,,,,,,,
16,Ala1,580.40 ***,142.26 ***,(9),5.67,aB,bE,7.22,cK,4.37,eA,fD,,fG,gJ,9.69,iB,jF,,jH,7.58 jJ
17,Arg1,63.38 ***,425.00 ***,48.50 ***,6.64,5.39,5.37, 5.57,aJ,5.76,4.65,5:77,, 5.59,5.70,4.38,4.81,iF,,4.90,4:77
18,Arg1,63.38 ***,425.00 ***,(15,6.64,5.39,5.37, 5.57,aJ,5.76,4.65,5:77,, 5.59,5.70,4.38,4.81,iF,,4.90,4:77
