,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,,,,,,,210,,,,,,,,,,,,,,,0=,64/6
1,,,,,,,,,,,,,,,,,,'S'N,,,,,0=,
2,,,,,,,,212,,,,'S'N,7117,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,5900,L00'0=d,,,,0=d,
4,,,,,,,,,,,,,,,,,,5900,,,,,,1445
5,,,,,,,,,,,,,,11116,%11,,,,,41/7,41/7,,,
6,-UON,,,,,,,,,,,'S'N,,,%11,,,,,,,,,
7,,,,,,,,,1/14,,,,,,,17113,,,,,,,,
8,,,,11/5,145,,,,08/8,%00,"""1%96)",,,,,,,,,,,,,H'R
9,,,,,,,,,,,,,,,,,,110=,,,,L000=d,,
10,,,,,,,,,,,,900=d,,%00,,,,,,,,L000=d,,H'N
11,Oeeor,,(Kep/6w,,,,,,,,,,,,,,,,,,,,,
12,,,p/6y/6wKep/6w,,,,,,,,,,,,,,,044,,,,,,04.2
13,,ason,p/6y/6wKep/6w,,,,,,,,,,,,,,,,,,,,,
14,,,p/6y/6wKep/6w,,116,9,,,,,2,,2,,,226,,244,,226,226,,,264
15,,,,Nar,Nar,NeE,NeR,Ner,,,NHRAP,,,,,Ner,NERRP,NERAP,,,,,,NERAP
16,,,,3,,2,2,022,,,4,,2,,,2,2,2,,,,,,2
17,A6e,,,8,,,,,,,,,,,,,,,,,,,,
18,Spnppe,Stie,,,30,,11112),28,,,164,,09,,,,214,,,170,"""95/)",eeer,,
19,,,,,,,,,,,,,,,,,,,,,,1985,,
