,0,1,2,3,4,5
0,"EstablishedStudyName,acronym)","EstablishedStudyName,acronym)","EstablishedStudyName,acronym)",,Country(/ies) Participants'age,ldentified in report(s)(Author
1,(Year),,,,at enrolment,
2,,,,,(Years),
3,1948a,The Framingham(Heart) Studya(FHS,The Framingham(Heart) Studya(FHS,USAa,30-59a,Dawber et al. 1951 [43]
4,,,,,,aFleming et al. 2002 [62]
5,1964a,The Glostrup Population Studiesa,The Glostrup Population Studiesa,Denmarka,40-70a,aHagerup et al. 1981 [44]
6,1971,The Gerontological and Geriatric Population Studies in,The Gerontological and Geriatric Population Studies in,Sweden,70,Tognon et al.2011 [63]
7,,Gothenburg(H7),Gothenburg(H7),,,
8,1976,Nurses'Health Study (NHS),Nurses'Health Study (NHS),USA,30-55,Lo et al. 2021 [64]
9,1984,"FinlandItalythe Netherlands,Elderly StudiesFINE","FinlandItalythe Netherlands,Elderly StudiesFINE",Finland,65-84,Knoops et al. 2004 [60]
10,,,,Italy,,Knoops et al.2006[59]
11,,,,Netherlands,,
12,1986,The Health Professionals Follow-up Study(HPFS),The Health Professionals Follow-up Study(HPFS),USA,40-75,Lo et al.2021 [64]
13,1986,lowa Women's Health Study(IWHS,lowa Women's Health Study(IWHS,USA,55-69,Inoue-Choi et al.2013[65]
14,,,,,,Mao et al. 2021 [53]
15,1988,,The Survey in Europe on Nutrition and the Elderly a Concerted,Europe,70-75,Jankovic et al.2014[66]
16,,Action(SENECA),Action(SENECA),,,Knoops et al.2004 [60]
17,,,,,,Knoops et al.2006[59]
18,1989,The Cardiovascular Health Study(CHS,The Cardiovascular Health Study(CHS,USA,65,Diehr & Beresford 2003 [67]
19,,,,,,Greenlee et al.2014[52]
20,1989,Nurses'Health Study II (NHSII),Nurses'Health Study II (NHSII),USA,25-42,Lo et al. 2021 [64]
21,1990a,,European Prospective Investigation Into Cancer and Nutrition -,UK,35-74a,Jankovic et al. 2014 [66]
22,,Elderly(EPIC-Elderly),Elderly(EPIC-Elderly),Germany,,Riboli&Kaaks1997[68]
23,,,,Netherlands,,
24,,,,France,,
25,,,,Spain,,
26,,,,Greece,,
27,,,,Sweden,,
28,,,,Denmark,,
29,,,,a,,
30,1990a,The Rotterdam Elderly Study,The Rotterdam Elderly Study,Netherlands,55,Jankovic et al.2014[66]
31,,,,,,aHofman et al. 1991 [69]
32,1992,Blue Mountains Eye Study (BMES),Blue Mountains Eye Study (BMES),Australia,49,Russel et al.2013 [70]
33,1992,The Italian Longitudinal Study on Ageing(ILSA,The Italian Longitudinal Study on Ageing(ILSA,Italy,65-84,Limongi et al.2017[71]
34,1994,The Geisinger Rural Aging Study (GRAS),The Geisinger Rural Aging Study (GRAS),USA,65,Liu et al. 2019 [58]
35,1994,National Diet and Nutrition Survey,National Diet and Nutrition Survey,UK,65,Hamer et al.2010[72]
36,1995,The National Institutes of Health-AARP Diet and Health (NIH,The National Institutes of Health-AARP Diet and Health (NIH,USA,50-71,Jankovic et al.2014[66]
37,,AARP),,,,Reedy et al.2014[73]
38,1996,,The New Integrated Suburban Seniority Investigation Project,Japan,64-65,Sasakabe et al.2021[55]
39,,(NISSIN),(NISSIN),,,
40,1998,The Chinese Longitudinal Healthy Longevity Survey (CLHLS),The Chinese Longitudinal Healthy Longevity Survey (CLHLS),China,65,Shi et al. 2015 [74]
41,,,,,,Cao et al.2019 [57]
42,,,,,,Lv et al.2020[31]
43,,,,,,Liu et al. 2021 [61]
44,2009a,The Mugello Studya,The Mugello Studya,Italya,90-99a,aMolino-Lova et al.2013 [75]
