,0,1,2,3,4,5,6,7,8
0,,Variables,,Buffaloes,,,95% CI,95% CI,x2(p-value)
1,,,,No.Infected/total,,%,,OR,
2,,,,,,Infected,,,
3,Teat/quarter lesion,Teat/quarter lesion,,,,,,,
4,None,,62/421,,14.73,,2.34 (1.254.26),,88.01 (<0.05)*
5,Laceration,,15/15,,100,,30.67 (24.25-35.75),30.67 (24.25-35.75),
6,Edema,,4/4,,100,,1.45 (0.272.85),,
7,Udder condition,,,,,,,,
8,Normal,,62/410,,15.12,,1.730.87-3.65,,60.79 (<0.05)*
9,Inflammation,,4/12,,33.33,,33.59 (1.88-35.11),33.59 (1.88-35.11),
10,Haemorrhage,,11/11,,100,,1.00 (0.25-1.26),,
11,Necrosis,,2/3,,66.67,,1.00 (0.25-1.26),,
12,Cord formation,,2/4,,50,,1.00 (0.25-1.26),,
13,Treatment,,,,,,,,
14,None,,47/326,,14.42,,9.45(7.88-11.65),9.45(7.88-11.65),88.10<0.05*
15,Prophylactic,,15/95,,15.79,,2.21 (1.74-3.98),2.21 (1.74-3.98),
16,Post infection,,19/19,,100,,1.04 (0.99-1.50),1.04 (0.99-1.50),
