,0,1,2
0,,Baseline,Final
1,Insulinemia(mU/L),,
2,Control,8.110.70,8.620.77
3,Extract,7.560.47,7.770.54
4,Leptin (ng/dL)a,,
5,Control,12.36  1.98,12.602.02
6,Extract,13.131.99,12.062.05
7,Adiponectin (g/mL),,
8,Control,8.86 0.55,8.640.59
9,Extract,8.580.56,8.420.55
10,Ghrelin (ng/mL),,
11,Control,4.060.54,4.110.49
12,Extract,4.08 3.87,3.87.056
13,PYY (pg/mL),,
14,Control,55.278.93,52.79+9.45
15,Extract,54.54 9.90,53.8911.74
16,GLP-1 (ng/mL),,
17,Control,4.650.53,4.390.73
18,Extractb,4.340.49,3.230.52
