,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,,,,,Fluoride content of drinking water (mg/L),,Fluoride content of drinking water (mg/L),,Fluoride content of drinking water (mg/L),,,,
1,,,0.2,0.2,0.3-0.4,0.3-0.4,,0.6,,0.9-1.2,0.9-1.2,,1.9,,2.5
2,Number examined,Number examined,2142,2142,,717,,614,614,,275,,273,,404
3,N fluorosis[n(%)],N fluorosis[n(%)],,,,,,,,,,,,,
4,Normal,(0),1912,(89.3),533,(74),444,,(72),121,(44),69,(25),26,(6.4)
5,(0.5),,211,(9.9),158,(22),130,,(21),91,(33),74,(27),80,(19.8)
6,Fluorosis[n(%)],Fluorosis[n(%)],,(0.9),,(3.6),,(6.5),(6.5),,(23),,(48),,(72)
7,Very mild,(1),19,(0.9),24,(3.3),38,(6.2),(6.2),58,(21),110,(40),170,(42)
8,Mild,(2),0,,2,(0.3),2,(0.3),(0.3),5,(1.8),17,(6.2),86,(21)
9,Moderate,(3),0,,0,,0,,,0,,3,(1.1),36,(8.9)
10,Severe,(4),0,,0,,0,,,0,,0,,0,
11,Caries in first molars,Caries in first molars,,88%,,77%,61%,61%,61%,,52%,,41%,,40%
