,0,1,2,3,4,5,6,7,8,9,10,11
0,Coefficient,BD,TD,Porosity,Solubility,Hardness,ADH,COH,RS,pGI,GL,OA
1,Intercept,663.37,781.97,56.28,94.75,0.372,0.480,0.528,2.57,50.86,8.73,8.09
2,A-Skimmed milk powder,22.83**, 33.09**,0.368**,1.95**,0.173**,0.075**,0.054**,0.052NS,0.088NS, 1.17**,0.357**
3,B-Carboxymethyl cellulose,0.166NS,1.41NS,0.060NS,1.47**,0.061*,0.073**,0.074**,1.06**,-1.45**,0.315**,0.262**
4,AB,2.03NS,0.985NS,,0.270NS,0.014NS,-,0.023NS,0.169*,0.879**,=,
5,A2,8.58**,9.14**,, 3.65**,0.042NS,,0.007NS,0.589**, 0.712**,-,-
6,B2,1.48NS,0.778NS,,0.650NS,0.006NS,,0.120**,0.236**,0.619**,,
7,Model p-value,<0.0001,<0.0001,<0.0001,<0.0001,<0.0001,<0.0001,<0.0001,0.0001,<0.0001,<0.0001,<0.0001
8,R2,0.963,0.984,0.881,0.969,0.952,0.872,0.959,0.990,0.961,0.936,0.834
9,Predicted R2.,0.768,0.907,0.808,0.813,0.730,0.751,0.844,0.943,0.923,0.861,0.664
10,Adjusted R2,0.937,0.973,0.857,0.947,0.919,0.846,0.930,0.983,0.933,0.923,0.801
11,C.V %,0.80,0.61,0.22,0.930,10.97,7.91,5.85,4.48,0.81,3.33,2.26
12,F-Value,36.88,88.33,37.08,44.06,28.32,34.07,33.00,144.12,34.52,73.63,25.29
13,Adequate Precision,19.81,30.51,18.19,21.04,15.77,16.62,19.10,34.56,16.80,25.09,14.17
14,LOF,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
15,Model analyzed,Quadratic,Quadratic,Linear,Quadratic,Quadratic,Linear,Quadratic,Quadratic,Quadratic,Linear,Linear
