,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,No,Project,Year,Picking method,Num-,Number,3D,Environment,,Harvest rate,Speed,,Damage rate,Issues,Note
1,,,,,ber,of cam-,imaging,Modi-,Description,,Single,Overall,,to be,
2,,,,,of,eras,tech-,fied,Description,,Single,Overall,,improved,
3,,,,,arms,,niques,fied,,,arm,,,,
4,36,Van Henten-,2002,Suck+pinch,1,2,Stereo,High wire,High wire,80%,45 s/fruit*,,N/A,Vision,2 CCD cameras
5,,Cucumber,,+stem cut,,,,,cultivation,,,,,detec-,* For partially
6,,Van Henten,,,,,,,system,,,,,tion,"occluded fruit,"
7,,"et al.,",,,,,,,,,,,,under,cycle time
8,,"2002,",,,,,,,,,,,,occlu-,was 124 s on
9,,2003),,,,,,,,,,,,sion,average
10,,,,,,,,,,,,,,Obstacle,
11,,,,,,,,,,,,,,avoid-,
12,,,,,,,,,,,,,,ance,
13,,,,,,,,,,,,,,Effi-,
14,,,,,,,,,,,,,,ciency,
15,37,Ji-Cucumber,2011,Pinch+stem cut,1,3,Stereo,High wire,High wire,85%*,28.6 s/fruit*,28.6 s/fruit*,N/A,Not,* The sample
16,,"(Ji et al.,",,,,,,,cultivation,,,,,speci-,space was
17,,2011),,,,,,,system,,,,,fied,only 40
18,38,IPK-Cucum-,2018,Grasp+pull/pluck,1,N/A,N/A,Open Field,Open Field,N/A,4.6 s/fruit*,,N/A,Stem,* Claimed but
19,,ber,,,,,,,,,,,,detec-,without field
20,,(Gesells-,,,,,,,,,,,,tion,test data sup-
21,,"chaft,",,,,,,,,,,,,,port
22,39,Scarfe-Kiwi-,2012,Grasp+rotate+pull,4,8,Stereo,'Typical','Typical',N/A,1 s/fruit,0.25 s/,15%*,Adjacent,* Lower than
23,,fruit,,,,,+,,orchard,,,fruit,,fruit,human's 23%
24,,(Scarfe,,,,,LIDAR,Scaffolding,Scaffolding,,,,,protec-,damage rate
25,,2012),,,,,,,canopy,,,,,Damage,
26,,,,,,,,,cultivation,,,,,Damage,
27,,,,,,,,,,,,,,rate,
28,,,,,,,,,,,,,,Harvest,
29,,,,,,,,,,,,,,rate,
