,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,,,TSS %,,Total Sugars %,,,Acidity %,,TSS/Acid Ratio,TSS/Acid Ratio,Reduced Sugars,Reduced Sugars,,Sugars %,
1,,Treatments,,,,,,,,,,,,,,Sugars %,
2,,,2020,,2021,2020,2021,2020,,2021,2020,2021,2020,2021,2020,,2021
3,Control,,10.70 f,,10.93 f,7.68 f, 0.04,0.64 a,,0.62 a,16.84 f,17.56 f, 0.08, 0.10,3.02 d,,3.02e
4,Control,Control, 0.62,,0.11, 0.03, 0.04, 0.06,, 0.02, 2.11, 0.73, 0.08, 0.10, 0.09,, 0.06
5,,500 ppm,11.33 e,,11.70 e, 0.03,8.00 c,0.63 a,,0.61 a,18.00 ef, 0.94, 0.12, 0.17,3.05 cd,,3.17 ce
6,,500 ppm, 0.35,, 0.26, 0.03, 0.2, 0.03,, 0.04, 0.34, 0.94, 0.12, 0.17,0.1,, 0.03
7,CA,1000 ppm,11.90 cd,,12.17 de, 0.08,8.08 c,0.53 c,,0.50 bc,22.49 cd,24.19 cd, 0.11, 0.07,3.10 b-d,,3.12 de
8,CA,1000 ppm, 0.46,,0.35, 0.08, 0.02, 0.03,, 0.02, 1.41, 0.53, 0.11, 0.07, 0.07,, 0.05
9,,1500 ppm,11.93 cd,, 0.25,7.95 cd,8.10 bc,0.52 c,,0.49 bc,23.03 cd,24.89 c,4.8 bc,4.87 b,3.15 ad,,3.21 bd
10,,1500 ppm,0.23,, 0.25,0.01, 0.1,0.04,,0.04,1.43,1.69, 0.13,0.10,0.13,, 0.13
