,0,1,2,3,4,5,6
0,,,,Latvia 2020 (19-64 years),Latvia 2020 (19-64 years),Lithuania 2019(19-/5 years,Lithuania 2019(19-/5 years
1,,Menn=907,Womenn=i.806,Men (n=470),Womenn=541),"Men(n=1,348Women(n=I,562","Men(n=1,348Women(n=I,562"
2,Beverages,,,649 (478),534 (339),,
3,"Soft drinks,cordials,etc",82 (159),40 (137),128,61,74 (198)3,36 (102)3
4,Juice,57 (115),35(117),51,38,,
5,Coffee,261 (199),252 (252),303,298,348 (258)4,356 (238)4
6,Tea,212 (218),240 (322),210,179,,
7,Cereals (grains),,,256 (139),189 (109),255 (181),196 (142)
8,Bread,92 (51),61 (52),101,72,,
9,Other grains,56(61),38 (64),48,32,,
10,Breakfast cereals,4(13),3(16),4.1,2.3,,
11,Porridge,71 (93),83 (138),1.8,1.3,,
12,Potatoes,126 (88),78 (88),125 (107),85 (87),,
13,Vegetables,150 (88),142 (127),205 (163),194 (138),189 (144),182 (142)
14,Pulses (legumes),7 (14),5 (22),18,17,,
15,Fruits and berries,182 (184),235 (260),127,165,150 (182),170 (172)
16,,202 (195)5,257 (275)5,,,,
17,Nuts and seeds,3.6 (12),4.2 (17),5.5,7.5,,
18,Fish and seafood,29 (41),23 (44),36 (72),26 (48),29 (71),27 (59)
19,Meat and meat products,,,224 (133),136 (84),174 (136),111(100)
20,Red meat,61 (44),36 (47),63,37,,
21,Poultry,24 (40),17(39),50,36,,
22,Meat products(both red meat,23 (32),14 (31),,63,,
23,and poultry),,,,,,
24,Milk and dairy products,294 (220),252 (223),224 (222),185 (156),140 (163),124 (131)
25,Cheese,20 (22),15 (23),,,,
26,Eggs,26 (31),20 (31),40 (49),31 (36),34 (64),23 (48)
27,Fats and oils,,,13 (13),I (II),12 (18),9 (14)
28,Butter,7.1 (9.4),5.8 (10),6.5,5.6,,
29,Oil,8.8 (6.7),6.1 (7),1.4,1.6,,
30,Other fats (margarine and,10(12),7(12),4.4,3.4,,
31,mayonnaise),,,,,,
32,Sweets and sweet bakery,,,,,,
33,products,,,,,,
34,Cakes and biscuts,46 (59),43 (71),,,,
35,Sweets,44 (38),41 (50),32,26,24 (40),20 (36)
