,0,1,2,3,4,5,6
0,,,,Quintiles of Purine Intake,,,p for
1,,Quintile 1,Quintile 2,Quintile 3,Quintile 4,Quintile 5,Trend b
2,Total purine,,,,,,
3,"Median intake,mg/day",179.43,251.44,313.39,384.92,514.94,
4,"Deaths,cases/total",235/3551,171/3551,137/3551,132/3551,83/3551,
5,Model 1c,1.00,0.81(0.67-0.99,0.74 (0.600.92),0.73(0.59-0.91),0.49 (0.38-0.63),<0.001
6,Model 2 d,1.00,0.90 (0.741.10),0.85 (0.68-1.05),0.87(0.70-1.08),0.60 (0.470.78),<0.001
7,Model 3 e,1.00,0.90 (0.74-1.10),0.84 (0.68-1.04),0.86 (0.70-1.07),0.60 (0.460.77),<0.001
8,Model 3 + protein intake,1.00,0.94 (0.771.14),0.91 (0.731.13),0.98 (0.781.23),0.74 (0.560.99),0.144
9,Animal-derived purine,,,,,,
10,"Median intake,mg/day",23.66,78.46,131.93,192.41,305.52,
11,"Deaths,cases/total",268/4472,153/3321,140/3321,119/3321,78/3320,
12,Model 1,1.00,0.86(0.70-1.04),0.87 (0.71-1.07),0.78 (0.63-0.97),0.53 (0.41-0.69),<0.001
13,Model 2,1.00,1.02 (0.83-1.25),1.03 (0.841.27),1.00 (0.801.24),0.72 (0.560.93),0.067
14,Model 3,1.00,1.03 (0.841.25),1.03 (0.841.27),0.99 (0.801.24),0.71 (0.550.92),0.052
15,Model 3 + protein intake,1.00,1.06 (0.87-1.30),1.11 (0.901.38),1.12 (0.891.41),0.92 (0.691.23),0.778
16,Plant-derived purine,,,,,,
17,"Median intake,mg/day",112.9,149.98,178.06,212.2,280.53,
18,"Deaths,cases/total",197/3552,152/3551,149/3550,148/3551,112/3551,
19,Model1,1.00,0.88(0.71-1.09),0.87 (0.701.08),0.87 (0.701.08),0.67(0.53-0.85,0.003
20,Model 2,1.00,0.92 (0.741.14),0.86 (0.69-1.07),0.88 (0.711.10),0.64 (0.510.81),0.001
21,Model 3,1.00,0.91 (0.73-1.13),0.86 (0.691.07),0.89 (0.711.10),0.64 (0.510.81),0.001
22,Model 3+protein intake,1.00,0.93 (0.75-1.15),0.90 (0.721.12),0.94 (0.75-1.17),0.71 (0.560.90),0.019
